Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Clear Lake City W.A., PROPOSITION 1",0092,1263,474,1737,2260,76.86%,896,522,1418
"Clear Lake City W.A., PROPOSITION 1",0174,1391,594,1985,2736,72.55%,1026,565,1591
"Clear Lake City W.A., PROPOSITION 1",0306,1096,299,1395,1896,73.58%,737,418,1155
"Clear Lake City W.A., PROPOSITION 1",0352,550,100,650,940,69.15%,240,173,413
"Clear Lake City W.A., PROPOSITION 1",0391,986,336,1322,1978,66.84%,614,356,970
"Clear Lake City W.A., PROPOSITION 1",0415,882,481,1363,1821,74.85%,659,377,1036
"Clear Lake City W.A., PROPOSITION 1",0473,944,390,1334,1787,74.65%,681,410,1091
"Clear Lake City W.A., PROPOSITION 1",0534,336,67,403,542,74.35%,137,113,250
"Clear Lake City W.A., PROPOSITION 1",0568,1833,697,2530,3638,69.54%,1186,793,1979
"Clear Lake City W.A., PROPOSITION 1",0662,1028,330,1358,1926,70.51%,515,420,935
"Clear Lake City W.A., PROPOSITION 1",0699,1276,398,1674,2387,70.13%,746,518,1264
"Clear Lake City W.A., PROPOSITION 1",0703,882,521,1403,1905,73.65%,629,434,1063
"Clear Lake City W.A., PROPOSITION 1",0718,1998,802,2800,3958,70.74%,1219,880,2099
"Clear Lake City W.A., PROPOSITION 1",0721,1466,603,2069,2926,70.71%,1037,612,1649
"Clear Lake City W.A., PROPOSITION 1",0724,392,99,491,798,61.53%,231,164,395
"Clear Lake City W.A., PROPOSITION 1",0728,399,197,596,942,63.27%,287,183,470
"Clear Lake City W.A., PROPOSITION 1",0732,791,449,1240,1943,63.82%,590,364,954
"Clear Lake City W.A., PROPOSITION 1",0744,1009,444,1453,2103,69.09%,666,452,1118
"Clear Lake City W.A., PROPOSITION 1",0745,1213,446,1659,2543,65.24%,861,426,1287
"Clear Lake City W.A., PROPOSITION 1",0746,244,121,365,732,49.86%,147,112,259
"Clear Lake City W.A., PROPOSITION 1",0748,515,227,742,1378,53.85%,308,231,539
"Clear Lake City W.A., PROPOSITION 1",0920,41,13,54,79,68.35%,29,17,46
"Clear Lake City W.A., PROPOSITION 1",0941,122,62,184,388,47.42%,91,48,139
"Clear Lake City W.A., PROPOSITION 1",Totals;,20657,8150,28807,41606,13532,8588,22120
