Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM May Walker,Totals
"Constable, Precinct 7",0017,451,293,744,1198,62.10%,478,478
"Constable, Precinct 7",0018,743,367,1110,1456,76.24%,670,670
"Constable, Precinct 7",0020,1007,335,1342,2780,48.27%,983,983
"Constable, Precinct 7",0021,539,207,746,1229,60.70%,596,596
"Constable, Precinct 7",0022,935,419,1354,2501,54.14%,1134,1134
"Constable, Precinct 7",0024,292,36,328,712,46.07%,278,278
"Constable, Precinct 7",0025,239,292,531,1105,48.05%,498,498
"Constable, Precinct 7",0031,784,453,1237,2656,46.57%,1167,1167
"Constable, Precinct 7",0068,1171,430,1601,3096,51.71%,1515,1515
"Constable, Precinct 7",0085,587,329,916,2169,42.23%,856,856
"Constable, Precinct 7",0131,798,371,1169,2147,54.45%,958,958
"Constable, Precinct 7",0132,1028,322,1350,2378,56.77%,1304,1304
"Constable, Precinct 7",0136,982,352,1334,2116,63.04%,1251,1251
"Constable, Precinct 7",0140,1513,510,2023,3270,61.87%,1708,1708
"Constable, Precinct 7",0156,1413,403,1816,3223,56.35%,1698,1698
"Constable, Precinct 7",0158,1143,365,1508,3049,49.46%,1452,1452
"Constable, Precinct 7",0180,928,463,1391,2914,47.74%,1302,1302
"Constable, Precinct 7",0193,375,211,586,1099,53.32%,545,545
"Constable, Precinct 7",0194,1138,449,1587,2172,73.07%,1196,1196
"Constable, Precinct 7",0198,161,82,243,619,39.26%,227,227
"Constable, Precinct 7",0210,1259,489,1748,2781,62.86%,1493,1493
"Constable, Precinct 7",0216,778,244,1022,1966,51.98%,937,937
"Constable, Precinct 7",0219,1117,515,1632,2868,56.90%,1488,1488
"Constable, Precinct 7",0223,1750,517,2267,3664,61.87%,1778,1778
"Constable, Precinct 7",0224,1166,495,1661,2313,71.81%,1023,1023
"Constable, Precinct 7",0228,625,159,784,1175,66.72%,743,743
"Constable, Precinct 7",0235,461,203,664,1421,46.73%,622,622
"Constable, Precinct 7",0236,656,308,964,2104,45.82%,915,915
"Constable, Precinct 7",0237,739,312,1051,2146,48.97%,1010,1010
"Constable, Precinct 7",0238,606,317,923,1948,47.38%,876,876
"Constable, Precinct 7",0239,694,334,1028,1984,51.81,%,982,982
"Constable, Precinct 7",0240,1007,292,1299,2601,49.94%,1248,1248
"Constable, Precinct 7",0243,244,42,286,475,60.21%,281,281
"Constable, Precinct 7",0247,440,376,816,1595,51.16%,781,781
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM May Walker,Totals
"Constable, Precinct 7",0255,1253,586,1839,2489,73.89%,1127,1127
"Constable, Precinct 7",0271,1150,346,1496,2558,58.48%,1448,1448
"Constable, Precinct 7",0276,1027,255,1282,2458,52.16%,1241,1241
"Constable, Precinct 7",0286,1708,545,2253,3757,59.97%,2054,2054
"Constable, Precinct 7",0287,851,408,1259,1658,75.93%,751,751
"Constable, Precinct 7",0288,881,314,1195,2208,54.12%,1150,1150
"Constable, Precinct 7",0291,603,233,836,1218,68.64%,529,529
"Constable, Precinct 7",0292,549,178,727,1379,52.72%,644,644
"Constable, Precinct 7",0294,852,198,1050,2054,51.12%,1020,1020
"Constable, Precinct 7",0295,270,111,381,894,42.62%,368,368
"Constable, Precinct 7",0318,1726,529,2255,3776,59.72%,2113,2113
"Constable, Precinct 7",0319,994,271,1265,2199,57.53%,1181,1181
"Constable, Precinct 7",0332,1355,503,1858,2926,63.50%,1681,1681
"Constable, Precinct 7",0336,2489,689,3178,4771,66.61%,2891,2891
"Constable, Precinct 7",0337,367,155,522,1108,47.11%,435,435
"Constable, Precinct 7",0355,821,239,1060,1714,61.84%,960,960
"Constable, Precinct 7",0359,803,496,1299,3320,39.13%,1168,1168
"Constable, Precinct 7",0372,509,180,689,1274,54.08%,614,614
"Constable, Precinct 7",0384,1152,444,1596,2725,58.57%,1312,1312
"Constable, Precinct 7",0389,397,293,690,1359,50.77%,598,598
"Constable, Precinct 7",0390,698,271,969,1482,65.38%,850,850
"Constable, Precinct 7",0392,652,145,797,1426,55.89%,770,770
"Constable, Precinct 7",0402,897,262,1159,1911,60.65%,1072,1072
"Constable, Precinct 7",0422,1367,401,1768,3348,52.81%,1688,1688
"Constable, Precinct 7",0458,914,253,1167,2025,57.63%,1073,1073
"Constable, Precinct 7",0462,1474,738,2212,3507,63.07%,1567,1567
"Constable, Precinct 7",0489,865,344,1209,1958,61.75%,927,927
"Constable, Precinct 7",0506,1513,696,2209,3544,62.33%,1889,1889
"Constable, Precinct 7",0525,1440,574,2014,3260,61.78%,1642,1642
"Constable, Precinct 7",0538,371,203,574,1332,43.09%,553,553
"Constable, Precinct 7",0540,997,349,1346,1759,76.52%,933,933
"Constable, Precinct 7",0541,2157,761,2918,5001,58.35%,2501,2501
"Constable, Precinct 7",0542,1156,406,1562,2654,58.85%,1446,1446
"Constable, Precinct 7",0554,597,271,868,1774,48.93%,712,712
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM May Walker,Totals
"Constable, Precinct 7",0555,639,390,1029,2286,45.01%,865,865
"Constable, Precinct 7",0564,1551,526,2077,3240,64.10%,1635,1635
"Constable, Precinct 7",0573,489,215,704,1625,43.32%,684,684
"Constable, Precinct 7",0607,163,51,214,712,30.06%,193,193
"Constable, Precinct 7",0630,2662,541,3203,4738,67.60%,2914,2914
"Constable, Precinct 7",0632,4,1,5,241,2.07%,5,5
"Constable, Precinct 7",0638,850,348,1198,2310,51.86%,1106,1106
"Constable, Precinct 7",0652,1155,545,1710,2979,57.40%,1475,1475
"Constable, Precinct 7",0693,309,110,419,681,61.53%,316,316
"Constable, Precinct 7",0722,1929,609,2538,4638,54.72%,2348,2348
"Constable, Precinct 7",0754,386,262,648,1590,40.75%,609,609
"Constable, Precinct 7",0819,108,31,139,228,60.96%,70,70
"Constable, Precinct 7",0820,0,0,0,0,0.00%,0,0
"Constable, Precinct 7",0822,571,185,756,1574,48.03%,709,709
"Constable, Precinct 7",0858,121,35,156,334,46.71%,147,147
"Constable, Precinct 7",0863,192,64,256,581,44.06%,242,242
"Constable, Precinct 7",0891,753,194,947,1376,68.82%,649,649
"Constable, Precinct 7",0893,1,4,5,9,55.56%,3,3
"Constable, Precinct 7",0931,87,28,115,141,81.56%,77,77
"Constable, Precinct 7",0932,0,1,1,0,0.00%,1,1
"Constable, Precinct 7",0933,297,93,390,668,58.38%,290,290
"Constable, Precinct 7",0947,428,198,626,820,76.34%,339,339
"Constable, Precinct 7",0948,0,0,0,1,0.00%,0,0
"Constable, Precinct 7",0949,84,61,145,210,69.05%,83,83
"Constable, Precinct 7",0969,299,71,370,624,59.29%,359,359
"Constable, Precinct 7",0974,0,1,1,0,0.00%,0,0
"Constable, Precinct 7",0994,55,12,68,75,90.67%,52,52
"Constable, Precinct 7",0995,753,193,946,1576,60.03%,857,857
"Constable, Precinct 7",1010,292,96,388,647,59.97%,320,320
"Constable, Precinct 7",Totals;,76813,28804,105617,185660,91249,91249
