Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0330,863,326,1189,2146,55.41%,499,625,1124
County Attorney,0331,884,234,1118,1612,69.35%,683,378,1061
County Attorney,0332,1355,503,1858,2926,63.50%,177,1610,1787
County Attorney,0333,1385,942,2327,3296,70.60%,1595,619,2214
County Attorney,0334,246,104,350,786,44.53%,51,283,334
County Attorney,0335,489,293,782,1679,46.58%,188,545,733
County Attorney,0336,2489,689,3178,4771,66.61%,300,2792,3092
County Attorney,0337,367,155,522,1108,47.11%,60,431,491
County Attorney,0338,1626,632,2258,5001,45.15%,570,1580,2150
County Attorney,0339,704,303,1007,1909,52.75%,178,764,942
County Attorney,0340,2040,654,2694,4012,67.15%,1848,719,2567
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0341,380,278,658,1372,47.96%,144,480,624
County Attorney,0342,311,225,536,1092,49.08%,109,402,511
County Attorney,0343,722,370,1092,2099,52.02%,195,834,1029
County Attorney,0344,381,207,588,1225,48.00%,18,540,558
County Attorney,0345,575,349,924,1945,47.51%,174,692,866
County Attorney,0346,1,0,1,1,100.00%,0,0,0
County Attorney,0347,1461,618,2079,3614,57.53%,1143,851,1994
County Attorney,0348,830,242,1072,1796,59.69%,703,326,1029
County Attorney,0349,458,369,827,1372,60.28%,478,326,804
County Attorney,0350,1674,582,2256,3269,69.01%,732,1364,2096
County Attorney,0351,2855,570,3425,4799,71.37%,2500,791,3291
County Attorney,0352,2023,538,2561,4278,59.86%,1732,730,2462
County Attorney,0353,1715,659,2374,4156,57.12%,366,1924,2290
County Attorney,0354,1569,429,1998,3520,56.76%,435,1472,1907
County Attorney,0355,821,239,1060,1714,61.84%,95,932,1027
County Attorney,0356,1542,582,2124,3126,67.95%,1108,908,2016
County Attorney,0357,1882,557,2439,3685,66.19%,1707,618,2325
County Attorney,0358,775,376,1151,2634,43.70%,118,988,1106
County Attorney,0359,803,496,1299,3320,39.13%,122,1139,1261
County Attorney,0360,1858,597,2455,3309,74.19%,1040,1261,2301
County Attorney,0361,323,688,1011,1808,55.92%,137,775,912
County Attorney,0362,2865,553,3418,5161,66.23%,2301,994,3295
County Attorney,0363,1826,635,2461,4160,59.16%,949,1438,2387
County Attorney,0364,1190,528,1718,2827,60.77%,740,886,1626
County Attorney,0365,827,174,1001,1348,74.26%,109,866,975
County Attorney,0366,988,524,1512,2887,52.37%,301,1146,1447
County Attorney,0367,453,204,657,1256,52.31%,147,475,622
County Attorney,0368,433,122,555,1024,54.20%,137,399,536
County Attorney,0369,132,29,161,678,23.75%,54,93,147
County Attorney,0370,2525,627,3152,4531,69.57%,2200,832,3032
County Attorney,0371,210,78,288,537,53.63%,12,271,283
County Attorney,0372,509,180,689,1274,54.08%,72,590,662
County Attorney,0373,61,13,74,163,45.40%,2,70,72
County Attorney,0374,176,165,341,720,47.36%,70,256,326
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0375,745,510,1255,2836,44.25%,409,772,1181
County Attorney,0376,753,344,1097,2060,53.25%,388,651,1039
County Attorney,0377,1381,643,2024,3137,64.52%,1482,453,1935
County Attorney,0378,621,447,1068,1856,57.54%,634,389,1023
County Attorney,0379,857,388,1245,2149,57.93%,102,1108,1210
County Attorney,0380,2732,551,3283,4380,74.95%,1665,1501,3166
County Attorney,0381,1185,432,1617,3141,51.48%,593,944,1537
County Attorney,0382,429,206,635,1035,61.35%,381,227,608
County Attorney,0383,722,458,1180,2373,49.73%,342,777,1119
County Attorney,0384,1152,444,1596,2725,58.57%,330,1207,1537
County Attorney,0385,1141,561,1702,2207,77.12%,1192,432,1624
County Attorney,0386,1658,419,2077,3105,66.89%,1443,573,2016
County Attorney,0387,1702,780,2482,4340,57.19%,1589,794,2383
County Attorney,0388,2899,711,3510,5413,66.69%,1651,1831,3482
County Attorney,0389,397,293,690,1359,50.77%,89,560,649
County Attorney,0390,698,271,969,1482,65.38%,115,820,935
County Attorney,0391,986,336,1322,1978,66.84%,743,525,1268
County Attorney,0392,652,145,797,1426,55.89%,12,759,771
County Attorney,0393,427,257,684,1274,53.69%,302,347,649
County Attorney,0394,236,126,362,914,39.61%,113,227,340
County Attorney,0395,1007,371,1378,1875,73.49%,870,447,1317
County Attorney,0396,1035,204,1239,2072,59.80%,25,1177,1202
County Attorney,0397,204,117,321,796,40.33%,111,189,300
County Attorney,0398,1761,654,2415,4200,57.50%,1039,1269,2308
County Attorney,0399,1291,546,1837,3340,55.00%,671,1102,1773
County Attorney,0400,1457,372,1839,2661,69.11%,1135,642,1777
County Attorney,0401,703,257,960,1971,48.71%,47,873,920
County Attorney,0402,897,262,1159,1911,60.65%,67,1059,1126
County Attorney,0403,959,387,1346,1719,78.30%,618,651,1269
County Attorney,0404,1033,445,1478,2717,54.40%,670,757,1427
County Attorney,0405,1910,457,2367,3067,77.18%,1727,581,2308
County Attorney,0406,275,65,340,649,52.39%,8,320,328
County Attorney,0407,1703,860,2563,3969,64.58%,1433,999,2432
County Attorney,0408,520,313,833,1740,47.87%,236,543,779
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0409,501,280,781,1608,48.57%,227,510,737
County Attorney,0410,381,96,477,934,51.07%,83,378,461
County Attorney,0411,699,418,1117,2426,46.04%,261,794,1055
County Attorney,0412,156,80,236,478,49.37%,12,216,228
County Attorney,0413,1546,456,2002,3081,64.98%,686,1224,1910
County Attorney,0414,1573,514,2087,3586,58.20%,1473,533,2006
County Attorney,0415,1076,573,1649,2284,72.20%,1070,503,1573
County Attorney,0416,1443,845,2288,4009,57.07%,1061,1114,2175
County Attorney,0417,1104,397,1501,2589,57.98%,594,835,1429
County Attorney,0418,1336,663,1999,3940,50.74%,609,1271,1880
County Attorney,0419,1166,477,1643,2702,60.81%,909,669,1578
County Attorney,0420,2687,731,3418,4946,69.11%,2699,602,3301
County Attorney,0421,1240,273,1513,2023,74.79%,674,783,1457
County Attorney,0422,1357,401,1768,3348,52.81%,58,1660,1718
County Attorney,0423,316,288,604,1423,42.45%,117,458,575
County Attorney,0424,548,158,706,1079,65.43%,344,332,676
County Attorney,0425,257,139,396,878,45.10%,107,268,375
County Attorney,0426,485,228,713,1266,56.32%,330,346,676
County Attorney,0427,437,155,592,1120,52.86%,177,378,555
County Attorney,0428,1588,865,2553,5151,49.56%,611,1803,2414
County Attorney,0429,947,649,1596,3311,48.20%,315,1205,1520
County Attorney,0430,524,291,815,1794,45.43%,124,635,759
County Attorney,0431,1218,604,1822,3860,47.20%,361,1376,1737
County Attorney,0432,456,249,705,1568,44.96%,199,458,657
County Attorney,0433,163,88,251,561,44.74%,51,187,238
County Attorney,0434,831,293,1124,1557,72.19%,579,471,1050
County Attorney,0435,1951,567,2518,3363,74.87%,1456,935,2391
County Attorney,0436,2008,678,2686,3809,70.52%,1382,1162,2544
County Attorney,0437,1148,425,1573,2094,75.12%,975,537,1512
County Attorney,0438,2288,475,2763,3789,72.92%,1791,838,2629
County Attorney,0439,1854,749,2603,3701,70.33%,1667,806,2473
County Attorney,0440,1498,749,2247,2973,75.58%,1624,518,2142
County Attorney,0441,824,408,1232,1695,72.68%,806,367,1173
County Attorney,0442,2441,685,3126,4315,72.44%,2454,555,3009
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0443,415,83,498,642,77.57%,331,144,475
County Attorney,0444,1620,679,2299,3625,63.42%,1162,1006,2168
County Attorney,0445,1036,382,1418,2134,66.45%,785,571,1356
County Attorney,0446,89,45,134,309,43.37%,43,86,129
County Attorney,0447,2411,464,2875,3727,77.14%,1819,924,2743
County Attorney,0448,1763,529,2292,3155,72.65%,1179,959,2138
County Attorney,0449,73,26,99,225,44.00%,10,87,97
County Attorney,0450,1104,394,1498,2890,51.83%,356,1093,1449
County Attorney,0451,1719,367,2086,2771,75.28%,1587,423,2010
County Attorney,0452,1871,662,2533,3789,66.85%,1647,791,2438
County Attorney,0453,661,417,1078,2039,52.87%,265,756,1021
County Attorney,0454,1043,288,1331,2509,53.05%,25,1261,1286
County Attorney,0455,669,173,842,1713,49.15%,33,780,813
County Attorney,0456,1,1404,553,1957,3793,51.60%,1001,862,1863
County Attorney,0457,0,0,0,0,0.00%,0,0,0
County Attorney,0458,914,253,1167,2025,57.63%,69,1051,1120
County Attorney,0459,2362,432,2794,3942,70.88%,2054,633,2687
County Attorney,0460,1613,472,2085,3280,63.57%,486,1520,2006
County Attorney,0461,2242,669,2911,4054,71.81%,1666,1076,2742
County Attorney,0462,1474,738,2212,3507,63.07%,691,1440,2131
County Attorney,0463,1573,564,2237,3773,59.29%,838,1335,2173
County Attorney,0464,967,582,1549,2343,66.11%,920,539,1459
County Attorney,0465,1628,594,2222,3778,58.81%,961,1167,2128
County Attorney,0466,2274,509,2783,4327,64.32%,1356,1331,2687
County Attorney,0467,501,225,726,1320,55.00%,144,546,690
County Attorney,0468,1379,747,2125,4040,52.62%,493,1533,2026
County Attorney,0469,1857,462,2329,3257,71.51%,1744,499,2243
County Attorney,0470,555,232,787,1358,57.95%,554,199,753
County Attorney,0471,1057,458,1515,2473,61.26%,1115,349,1464
County Attorney,0472,463,339,802,1131,70.91%,300,451,751
County Attorney,0473,944,390,1334,1787,74.65%,864,410,1274
County Attorney,0474,1417,624,2041,3127,65.27%,1288,676,1964
County Attorney,0475,791,261,1052,1936,54.34%,394,608,1002
County Attorney,0476,1077,405,1482,2458,60.29%,731,687,1418
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0477,2027,640,2667,4010,66.51%,1758,790,2548
County Attorney,0478,2271,683,2954,4696,62.90%,1762,1068,2830
County Attorney,0479,1978,755,2733,3851,70.97%,1912,724,2636
County Attorney,0480,1445,538,1983,2978,66.59%,1302,620,1922
County Attorney,0481,1756,667,2423,3609,67.14%,1683,633,2316
County Attorney,0482,2259,618,2877,4405,65.31%,1877,885,2762
County Attorney,0483,2305,538,2843,4495,63.25%,1376,1329,2705
County Attorney,0484,2020,700,2720,3981,68.32%,1649,967,2616
County Attorney,0485,2118,567,2685,4051,66.28%,1853,741,2594
County Attorney,0486,2310,721,3031,4195,72.25%,2224,686,2910
County Attorney,0487,1405,527,1932,4142,46.64%,451,1328,1779
County Attorney,0488,842,511,1353,2382,56.80%,356,936,1292
County Attorney,0489,865,344,1209,1958,61.75%,307,852,1159
County Attorney,0490,980,346,1326,2105,62.99%,368,896,1264
County Attorney,0491,937,488,1425,2110,67.54%,725,634,1359
County Attorney,0492,1217,396,1613,2552,63.21%,763,785,1548
County Attorney,0493,1404,555,1959,3338,58.69%,687,1162,1849
County Attorney,0494,1079,419,1498,2787,53.75%,183,1260,1443
County Attorney,0495,1414,376,1790,2488,71.95%,1137,566,1703
County Attorney,0496,687,549,1235,2325,53.16%,395,784,1179
County Attorney,0497,915,281,1197,2148,55.73%,47,1113,1160
County Attorney,0498,1069,423,1492,2527,59.04%,493,936,1429
County Attorney,0499,1433,397,1830,2336,78.34%,1224,543,1767
County Attorney,0500,1869,651,2520,3698,68.14%,1515,903,2418
County Attorney,0501,1146,406,1552,2016,76.98%,591,870,1461
County Attorney,0502,1355,293,1559,2595,63.93%,1233,357,1590
County Attorney,0503,1397,306,1703,2236,76.16%,1230,398,1628
County Attorney,0504,1270,482,1752,2318,75.58%,1052,619,1671
County Attorney,0505,1750,735,2485,4076,60.97%,1018,1324,2342
County Attorney,0506,1513,696,2209,3544,62.33%,316,1816,2132
County Attorney,0507,599,319,918,2562,35.83%,196,624,820
County Attorney,0508,1519,828,2347,4767,49.23%,617,1560,2177
County Attorney,0509,2504,669,3173,5153,61.58%,1936,1126,3062
County Attorney,0510,1701,666,2367,3822,61.93%,946,1346,2292
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0511,2933,574,3507,4620,75.91%,2075,1313,3388
County Attorney,0512,1668,871,2539,4559,55.69%,924,1509,2433
County Attorney,0513,1754,413,2157,3003,72.16%,1485,600,2085
County Attorney,0514,2285,613,2899,4378,66.22%,1914,871,2785
County Attorney,0515,1836,468,2304,3182,72.41%,1770,446,2216
County Attorney,0516,1316,363,1679,2799,59.99%,770,845,1615
County Attorney,0517,1610,509,2119,3744,56.60%,859,1170,2029
County Attorney,0518,1886,676,2562,4049,63.27%,1431,1022,2453
County Attorney,0519,1421,51,8,1939,3098,62.59%,1279,585,1864
County Attorney,0520,1785,670,2456,5202,47.21%,356,2041,2397
County Attorney,0521,1350,578,1928,3070,62.80%,860,998,1858
County Attorney,0522,1508,464,1972,2815,70.05%,1390,533,1923
County Attorney,0523,1978,537,2515,4027,62.45%,1476,920,2396
County Attorney,0524,1392,637,2029,3598,56.39%,514,1433,1947
County Attorney,0525,1440,574,2014,3260,61.78%,391,1530,1921
County Attorney,0526,235,157,392,820,47.80%,77,286,363
County Attorney,0527,156,38,194,580,33.45%,68,113,181
County Attorney,0528,17,8,25,78,32.05%,2,22,24
County Attorney,0529,2107,434,2541,3842,66.14%,2046,387,2433
County Attorney,0530,375,212,587,1236,47.49%,106,433,539
County Attorney,0531,1234,166,1400,2250,62.22%,988,338,1326
County Attorney,0532,478,140,618,1058,58.41%,399,206,605
County Attorney,0533,352,169,521,1164,44.76%,244,245,489
County Attorney,0534,1895,577,2472,3918,63.09%,1650,714,2364
County Attorney,0535,132,62,194,413,46.97%,59,120,179
County Attorney,0536,2104,1053,3157,5637,56.00%,957,2014,2971
County Attorney,0537,1958,464,2422,3174,76.31%,1637,695,2332
County Attorney,0538,371,203,574,1332,43.09%,12,546,558
County Attorney,0539,811,234,1045,1535,68.08%,541,451,992
County Attorney,0540,997,349,1346,1759,76.52%,400,864,1264
County Attorney,0541,2157,761,2918,5001,58.35%,418,2364,2782
County Attorney,0542,1156,406,1562,2654,58.85%,95,1413,1508
County Attorney,0543,553,321,874,1658,52.71%,203,627,830
County Attorney,0544,84,54,138,313,44.09%,16,119,135
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0545,2015,468,2483,3949,62.88%,1040,1323,2363
County Attorney,0546,1524,278,1802,2471,72.93%,1481,277,1758
County Attorney,0547,1413,270,1683,2534,66.42%,1080,536,1616
County Attorney,0548,882,395,1277,2339,54.60%,545,690,1235
County Attorney,0549,1105,447,1552,2786,55.71%,178,1336,1514
County Attorney,0550,1171,553,1724,3245,53.13%,692,985,1677
County Attorney,0551,2588,793,3379,4428,76.31%,2474,767,3241
County Attorney,0552,2090,784,2874,3762,76.40%,2245,533,2778
County Attorney,0553,982,317,1279,2193,58.32%,460,773,1233
County Attorney,0554,597,271,868,1774,48.93%,167,671,838
County Attorney,0555,839,390,1029,2286,45.01%,165,821,986
County Attorney,0556,759,435,1194,2491,47.93%,221,921,1142
County Attorney,0557,925,460,1385,2955,46.87%,358,918,1276
County Attorney,0558,1812,721,2533,4718,53.69%,714,1721,2435
County Attorney,0559,1901,701,2602,4984,52.21%,553,1936,2489
County Attorney,0560,290,247,537,1141,47.06%,92,409,501
County Attorney,0561,1023,624,1647,3138,52.49%,922,645,1567
County Attorney,0562,222,116,338,691,48.91%,38,271,309
County Attorney,0563,2089,337,2406,3468,69.38%,1784,534,2318
County Attorney,0564,1551,526,2077,3240,64.10%,524,1449,1973
County Attorney,0565,338,148,484,1414,34.23%,72,390,462
County Attorney,0566,1183,441,1624,3029,53.62%,385,1170,1555
County Attorney,0567,985,390,1355,2851,47.53%,314,950,1264
County Attorney,0568,1833,697,2530,3638,69.54%,1522,864,2386
County Attorney,0569,2027,747,2774,4125,67.25%,1246,1374,2620
County Attorney,0570,788,278,1044,1598,65.33%,350,630,980
County Attorney,0571,521,314,835,1950,42.82%,228,563,791
County Attorney,0572,1522,444,1966,3308,59.43%,789,1092,1881
County Attorney,0573,489,215,704,1625,43.32%,17,676,693
County Attorney,0574,112,74,186,391,47.57%,19,158,177
County Attorney,0575,1905,535,2440,3557,68.60%,1306,1032,2338
County Attorney,0576,1107,375,1482,2830,52.37%,75,1362,1437
County Attorney,0577,885,205,1090,1586,68.73%,613,433,1046
County Attorney,0578,1028,405,1431,1862,76.85%,805,542,1347
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0579,287,181,468,1139,41.09%,73,373,446
County Attorney,0580,366,108,474,985,48.12%,20,449,469
County Attorney,0581,456,137,593,1033,57.41%,16,558,574
County Attorney,0582,543,232,775,1607,48.23%,43,700,743
County Attorney,0583,433,155,588,1286,45.72%,16,559,575
County Attorney,0584,367,120,487,1062,45.86%,34,433,467
County Attorney,0585,829,280,1109,2346,47.27%,55,1018,1073
County Attorney,0586,1790,790,2580,4521,57.07%,1400,1067,2467
County Attorney,0587,1204,431,1635,2870,56.97%,511,1063,1574
County Attorney,0588,1940,606,2546,3780,67.35%,1637,819,2456
County Attorney,0589,1539,545,2084,3780,55.13%,935,1061,1996
County Attorney,0590,1230,400,1630,2176,74.91%,1187,371,1558
County Attorney,0591,651,462,1113,2274,48.94%,257,796,1053
County Attorney,0592,449,272,721,1446,49.86%,139,549,688
County Attorney,0593,1581,755,2316,4179,55.42%,863,1341,2204
County Attorney,0594,1243,316,1559,2578,60.47%,399,1119,1518
County Attorney,0595,600,299,899,1833,49.05%,127,738,865
County Attorney,0596,1377,501,1878,3574,52.55%,811,968,1779
County Attorney,0597,1204,609,1813,3587,50.54%,598,1125,1723
County Attorney,0598,2389,731,3120,5253,59.39%,1018,1963,2981
County Attorney,0599,1378,493,1871,3005,62.26%,614,1200,1814
County Attorney,0600,1602,776,2378,4204,56.57%,750,1515,2265
County Attorney,0601,2220,670,2890,4151,69.62%,2012,782,2794
County Attorney,0602,754,234,988,1441,68.56%,646,305,951
County Attorney,0603,2335,725,3060,4666,65.58%,1685,1261,2946
County Attorney,0604,1816,375,2191,3189,68.70%,1771,325,2096
County Attorney,0605,1711,599,2310,4217,54.78%,494,1703,2197
County Attorney,0606,319,111,430,970,44.33%,8,409,417
County Attorney,0607,163,51,214,712,30.06%,23,182,205
County Attorney,0608,156,77,233,570,40.88%,71,150,221
County Attorney,0609,2037,729,2766,4305,64.25%,1528,1121,2649
County Attorney,0610,665,343,1008,2086,48.32%,384,560,944
County Attorney,0611,980,229,1209,2527,47.84%,44,1136,1180
County Attorney,0612,1927,431,2358,3388,69.60%,1710,544,2254
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0613,937,339,1276,2368,53.89%,202,1022,1224
County Attorney,0614,1949,645,2594,4566,56.81%,709,1773,2482
County Attorney,0615,1075,301,1376,2086,65.96%,680,639,1319
County Attorney,0616,1809,611,2420,3516,68.83%,1538,770,2308
County Attorney,0617,1704,650,2354,4179,56.33%,745,1515,2260
County Attorney,0618,1698,545,2243,3801,59.01%,887,1282,2169
County Attorney,0619,2792,663,3455,4916,70.28%,2444,912,3356
County Attorney,0620,1747,333,2080,3318,62.69%,1002,985,1987
County Attorney,0621,536,200,736,1272,57.86%,285,414,699
County Attorney,0622,2129,591,2720,4562,59.62%,1392,1221,2613
County Attorney,0623,1960,461,2421,3919,61.78%,1447,877,2324
County Attorney,0624,297,59,356,456,78.07%,264,80,344
County Attorney,0625,924,372,1296,1864,69.53%,653,592,1245
County Attorney,0626,2280,784,3064,4816,63.62%,1507,1420,2927
County Attorney,0627,935,649,1584,3235,48.96%,387,1122,1509
County Attorney,0628,716,545,1261,2420,52.11%,406,776,1182
County Attorney,0629,162,96,258,750,34.40%,29,221,250
County Attorney,0630,2662,541,3203,4738,67.60%,313,2801,3114
County Attorney,0631,1841,398,2239,3263,68.62%,1423,720,2143
County Attorney,0632,4,1,5,241,2.07%,0,5,5
County Attorney,0633,2286,601,2887,3912,73.80%,1906,872,2778
County Attorney,0634,1435,499,1934,3259,59.34%,1056,807,1863
County Attorney,0635,1645,520,2165,3512,61.65%,1543,529,2072
County Attorney,0636,2303,922,3225,4569,70.58%,2737,378,3115
County Attorney,0637,1095,423,1518,2591,58.59%,303,1105,1408
County Attorney,0638,850,348,1198,2310,51.86%,90,1076,1166
County Attorney,0639,1386,284,1670,2560,65.23%,1235,368,1603
County Attorney,0640,1619,615,2234,3927,56.89%,1206,945,2151
County Attorney,0641,1637,683,2320,3840,60.42%,1301,934,2235
County Attorney,0642,1030,270,1300,1783,72.91%,968,294,1262
County Attorney,0643,1948,593,2541,4189,60.66%,1136,1311,2447
County Attorney,0644,2087,689,2776,4446,62.44%,1538,1126,2664
County Attorney,0645,2145,769,2914,4517,64.51%,1118,1653,2771
County Attorney,0646,925,399,1324,2422,54.67%,321,937,1258
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jim Leitner,DEM Vince Ryan,Totals
County Attorney,0647,1372,526,1898,4349,43.64%,395,1379,1774
County Attorney,0648,1859,500,2359,3487,67.65%,1583,696,2279
County Attorney,0649,1549,775,2324,4755,48.87%,538,1681,2219
County Attorney,0650,2033,819,2852,4039,70.61%,1827,923,2750
County Attorney,0651,1734,551,2285,3873,59.00%,1171,1024,2195
County Attorney,0652,1165,545,1710,2979,57.40%,247,1416,1663
County Attorney,0653,185,110,295,604,48.84%,65,218,283
County Attorney,0654,2381,698,3079,5063,60.81%,1476,1472,2948
County Attorney,0655,1959,761,2720,4495,60.51%,1399,1187,2586
