Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0744,1009,444,1453,2103,69.09%,860,542,1402
County Tax Assessor-Collector,0745,1213,446,1659,2543,65.24%,1030,583,1613
County Tax Assessor-Collector,0746,244,121,365,732,49.86%,175,168,343
County Tax Assessor-Collector,0747,1746,693,2439,4096,59.55%,1080,1278,2358
County Tax Assessor-Collector,0748,563,245,808,1556,51.93%,395,388,783
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0749,115,1,116,432,26.85%,19,94,113
County Tax Assessor-Collector,0750,294,122,416,809,51.42%,229,164,393
County Tax Assessor-Collector,0751,2931,1013,3944,5893,66.93%,2423,1401,3824
County Tax Assessor-Collector,0752,659,227,886,1484,59.70%,602,253,855
County Tax Assessor-Collector,0753,258,53,311,512,60.74%,132,170,302
County Tax Assessor-Collector,0754,386,262,648,1590,40.75%,39,592,631
County Tax Assessor-Collector,0755,1782,955,2737,5015,54.58%,1003,1626,2629
County Tax Assessor-Collector,0756,687,309,996,1723,57.81%,339,622,961
County Tax Assessor-Collector,0757,1867,601,2468,4792,51.50%,450,1947,2397
County Tax Assessor-Collector,0758,2104,595,2699,3803,70.97%,2068,551,2619
County Tax Assessor-Collector,0759,1389,375,1764,2779,63.48%,1052,655,1707
County Tax Assessor-Collector,0760,1219,268,1487,2162,68.78%,1220,240,1460
County Tax Assessor-Collector,0761,1088,167,1255,1598,78.54%,895,317,1212
County Tax Assessor-Collector,0762,924,303,1227,1828,67.12%,578,606,1184
County Tax Assessor-Collector,0763,370,264,634,1249,50.76%,209,397,606
County Tax Assessor-Collector,0764,2472,677,3149,4827,65.24%,1941,1105,3046
County Tax Assessor-Collector,0765,2051,874,2925,5742,50.94%,812,2021,2833
County Tax Assessor-Collector,0766,126,59,185,428,43.22%,36,131,167
County Tax Assessor-Collector,0767,31,15,46,92,50.00%,23,21,44
County Tax Assessor-Collector,0768,1479,387,1866,2643,70.60%,1457,359,1816
County Tax Assessor-Collector,0769,85,14,99,184,53.80%,8,89,97
County Tax Assessor-Collector,0770,103,42,145,388,37.37%,47,92,139
County Tax Assessor-Collector,0771,572,210,782,1588,49.24%,351,405,756
County Tax Assessor-Collector,0772,2805,477,3282,4606,71.25%,2454,737,3191
County Tax Assessor-Collector,0773,1693,638,2331,4414,52.81%,605,1594,2199
County Tax Assessor-Collector,0774,150,66,216,426,50.70%,53,158,211
County Tax Assessor-Collector,0775,50,1,51,102,50.00%,1,49,50
County Tax Assessor-Collector,0776,1432,538,1970,3276,60.13%,1118,786,1904
County Tax Assessor-Collector,0777,201,105,306,767,39.90%,81,216,297
County Tax Assessor-Collector,0778,0,3,3,0,0.00%,0,3,3
County Tax Assessor-Collector,0779,263,160,423,1019,41.51%,116,275,391
County Tax Assessor-Collector,0780,170,130,300,666,45.05%,107,173,280
County Tax Assessor-Collector,0781,1235,612,1847,3782,48.84%,600,1123,1723
County Tax Assessor-Collector,0782,1048,368,1416,2355,60.13%,870,497,1367
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0783,197,90,287,520,55.19%,29,249,278
County Tax Assessor-Collector,0784,408,119,527,1062,49.62%,20,492,512
County Tax Assessor-Collector,0785,1229,357,1586,1896,83.65%,831,701,1532
County Tax Assessor-Collector,0786,396,177,573,1258,45.55%,187,362,549
County Tax Assessor-Collector,0787,180,83,263,542,48.52%,91,160,251
County Tax Assessor-Collector,0788,2,0,2,13,15.38%,2,0,2
County Tax Assessor-Collector,0789,1377,420,1797,2998,59.94%,1052,690,1742
County Tax Assessor-Collector,0790,1143,329,1472,2523,58.34%,520,906,1426
County Tax Assessor-Collector,0791,9,3,12,29,41.38%,2,10,12
County Tax Assessor-Collector,0792,648,415,1063,1954,54.40%,275,748,1023
County Tax Assessor-Collector,0793,984,416,1400,2620,53.44%,738,611,1349
County Tax Assessor-Collector,0794,626,411,1037,3208,32.33%,128,878,1006
County Tax Assessor-Collector,0795,396,2,398,1281,31.07%,124,248,372
County Tax Assessor-Collector,0796,1371,455,1835,3041,60.37%,769,1018,1787
County Tax Assessor-Collector,0797,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0798,222,142,364,521,69.87%,143,211,354
County Tax Assessor-Collector,0799,58,26,84,171,49.12%,20,64,84
County Tax Assessor-Collector,0800,1934,730,2664,4216,63.19%,1659,925,2584
County Tax Assessor-Collector,0801,90,44,134,261,51.34%,53,77,130
County Tax Assessor-Collector,0802,54,21,75,224,33.48%,21,50,71
County Tax Assessor-Collector,0803,2655,547,3212,4514,71.16%,2231,896,3127
County Tax Assessor-Collector,0804,2703,682,3385,5303,63.83%,1820,1488,3308
County Tax Assessor-Collector,0805,1597,454,2051,2874,71.36%,1607,388,1995
County Tax Assessor-Collector,0806,1001,324,1325,1889,70.14%,833,462,1295
County Tax Assessor-Collector,0807,792,349,1141,2163,52.75%,219,888,1107
County Tax Assessor-Collector,0808,142,57,199,232,85.78%,79,110,189
County Tax Assessor-Collector,0809,19,7,26,98,26.53%,13,12,25
County Tax Assessor-Collector,0810,47,31,78,197,39.59%,15,56,71
County Tax Assessor-Collector,0811,82,68,150,277,54.15%,40,106,146
County Tax Assessor-Collector,0812,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0813,1742,434,2176,3488,62.39%,998,1124,2122
County Tax Assessor-Collector,0814,1968,827,2795,5483,50.98%,608,2099,2707
County Tax Assessor-Collector,0815,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0816,23,10,33,64,51.56%,5,25,30
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0817,2787,550,3337,4700,71.00%,2360,895,3255
County Tax Assessor-Collector,0818,208,104,312,737,42.33%,73,230,303
County Tax Assessor-Collector,0819,108,31,139,228,60.96%,77,54,131
County Tax Assessor-Collector,0820,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0821,362,188,550,1295,42.47%,83,444,527
County Tax Assessor-Collector,0822,571,185,756,1574,48.03%,40,687,727
County Tax Assessor-Collector,0823,1339,410,1749,3017,57.97%,941,746,1687
County Tax Assessor-Collector,0824,1057,410,1467,2762,53.11%,348,1075,1423
County Tax Assessor-Collector,0825,9,7,15,21,76.19%,4,11,15
County Tax Assessor-Collector,0826,177,70,247,355,69.58%,134,100,234
County Tax Assessor-Collector,0827,218,234,452,1042,43.38%,155,288,443
County Tax Assessor-Collector,0828,1174,281,1455,1965,74.05%,1121,294,1415
County Tax Assessor-Collector,0829,101,19,120,235,51.06%,35,81,116
County Tax Assessor-Collector,0830,2,2,4,2,200.00%,4,0,4
County Tax Assessor-Collector,0831,8,5,13,36,36.11%,6,6,12
County Tax Assessor-Collector,0832,124,50,174,364,47.80%,49,117,166
County Tax Assessor-Collector,0833,3,2,5,20,25.00%,1,4,5
County Tax Assessor-Collector,0834,142,61,203,388,52.32%,22,178,200
County Tax Assessor-Collector,0835,87,71,158,311,50.80%,45,106,151
County Tax Assessor-Collector,0836,128,0,128,248,51.61%,12,106,118
County Tax Assessor-Collector,0837,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0838,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0839,419,174,593,1190,49.83%,145,425,570
County Tax Assessor-Collector,0840,829,228,1057,1780,59.38%,370,651,1021
County Tax Assessor-Collector,0841,1473,475,1948,3431,56.78%,490,1407,1897
County Tax Assessor-Collector,0842,1338,513,1851,3390,54.60%,766,1010,1776
County Tax Assessor-Collector,0843,595,298,893,1387,64.38%,175,687,862
County Tax Assessor-Collector,0844,4,0,4,10,40.00%,0,4,4
County Tax Assessor-Collector,0845,151,13,164,218,75.23%,104,55,159
County Tax Assessor-Collector,0846,51,22,83,229,36.24%,4,76,80
County Tax Assessor-Collector,0847,993,330,1323,2310,57.27%,372,908,1280
County Tax Assessor-Collector,0848,1011,201,1212,1875,64.64%,409,762,1171
County Tax Assessor-Collector,0849,731,455,1186,2272,52.20%,342,772,1114
County Tax Assessor-Collector,0850,129,19,148,208,71.15%,63,81,144
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0851,1885,441,2326,3597,64.66%,1580,687,2267
County Tax Assessor-Collector,0852,0,0,0,1,0.00%,0,0,0
County Tax Assessor-Collector,0853,1637,487,2124,2986,71.13%,1594,487,2081
County Tax Assessor-Collector,0854,40,19,59,175,33.71%,8,49,57
County Tax Assessor-Collector,0855,7,2,9,21,42.86%,4,4,8
County Tax Assessor-Collector,0856,0,3,3,0,0.00%,1,0,1
County Tax Assessor-Collector,0857,0,0,0,1,0.00%,0,0,0
County Tax Assessor-Collector,0858,121,35,156,334,46.71%,4,144,148
County Tax Assessor-Collector,0859,391,143,534,945,56.51%,123,392,515
County Tax Assessor-Collector,0860,1,1,2,0,0.00%,0,2,2
County Tax Assessor-Collector,0861,777,272,1049,1941,54.04%,191,828,1019
County Tax Assessor-Collector,0862,1989,508,2497,3739,66.78%,1470,956,2426
County Tax Assessor-Collector,0863,192,64,256,581,44.06%,18,234,252
County Tax Assessor-Collector,0864,693,574,1267,2708,46.79%,302,904,1206
County Tax Assessor-Collector,0865,9,2,11,21,52.38%,0,11,11
County Tax Assessor-Collector,0866,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0867,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0868,736,495,1231,2446,50.33%,336,841,1177
County Tax Assessor-Collector,0869,165,55,220,480,45.83%,30,187,217
County Tax Assessor-Collector,0870,0,2,2,0,0.00%,1,1,2
County Tax Assessor-Collector,0871,2,1,3,3,100.00%,0,3,3
County Tax Assessor-Collector,0872,16,6,22,68,32.35%,12,10,22
County Tax Assessor-Collector,0873,296,111,407,778,52.31%,106,290,396
County Tax Assessor-Collector,0874,1681,670,2351,3294,71.37%,1726,567,2293
County Tax Assessor-Collector,0875,1947,501,2448,3592,68.15%,1179,1197,2376
County Tax Assessor-Collector,0876,1945,577,2522,3485,72.37%,1764,693,2457
County Tax Assessor-Collector,0877,1803,528,2331,3651,63.85%,930,1342,2272
County Tax Assessor-Collector,0878,685,110,795,1039,76.52%,640,133,773
County Tax Assessor-Collector,0879,1215,413,1628,2843,57.26%,703,868,1571
County Tax Assessor-Collector,0880,1354,471,1825,2467,73.98%,1386,405,1791
County Tax Assessor-Collector,0881,2465,927,3392,5638,60.16%,947,2357,3304
County Tax Assessor-Collector,0882,1952,595,2547,4317,59.00%,813,1646,2459
County Tax Assessor-Collector,0883,2252,928,3180,5613,56.65%,624,2452,3076
County Tax Assessor-Collector,0884,149,55,204,396,51.52%,29,170,199
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0885,1570,323,1893,2811,67.34%,1087,761,1848
County Tax Assessor-Collector,0886,495,152,647,906,71.41,%,363,253,616
County Tax Assessor-Collector,0887,234,95,329,492,66.87%,177,124,301
County Tax Assessor-Collector,0888,817,289,1106,1867,59.24%,371,703,1074
County Tax Assessor-Collector,0889,113,28,141,238,59.24%,46,90,136
County Tax Assessor-Collector,0890,445,98,543,1214,44.73%,230,283,513
County Tax Assessor-Collector,0891,753,194,947,1376,68.82%,362,551,913
County Tax Assessor-Collector,0892,420,123,543,900,60.33%,205,308,513
County Tax Assessor-Collector,0893,1,4,5,9,55.56%,2,3,5
County Tax Assessor-Collector,0894,801,305,1106,2087,52.99%,178,893,1071
County Tax Assessor-Collector,0895,417,252,669,834,80.22%,292,343,635
County Tax Assessor-Collector,0896,838,254,1092,1467,74.44%,382,668,1050
County Tax Assessor-Collector,0897,812,365,1177,1766,66.65%,639,495,1134
County Tax Assessor-Collector,0898,792,301,1093,1821,60.02%,451,611,1062
County Tax Assessor-Collector,0899,745,165,911,1264,72.07%,585,312,897
County Tax Assessor-Collector,0900,7,0,7,12,58.33%,1,6,7
County Tax Assessor-Collector,0901,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0902,1310,361,1671,2217,75.37%,917,683,1600
County Tax Assessor-Collector,0903,1314,354,1668,2558,65.21%,1231,400,1631
County Tax Assessor-Collector,0904,2,0,2,8,25.00%,1,1,2
County Tax Assessor-Collector,0905,390,136,526,946,55.60%,217,296,513
County Tax Assessor-Collector,0906,19,3,22,28,78.57%,11,11,22
County Tax Assessor-Collector,0907,53,37,90,201,44.78%,9,80,89
County Tax Assessor-Collector,0908,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0909,7,1,8,21,38.10%,3,5,8
County Tax Assessor-Collector,0910,78,37,115,236,48.73%,43,65,108
County Tax Assessor-Collector,0911,237,63,300,576,52.08%,196,99,295
County Tax Assessor-Collector,0912,712,167,879,1341,65.55%,530,322,852
County Tax Assessor-Collector,0913,102,12,114,241,47.30%,20,90,110
County Tax Assessor-Collector,0914,42,0,42,124,33.87%,8,33,41
County Tax Assessor-Collector,0915,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0916,1472,308,1780,2205,80.73%,1355,370,1725
County Tax Assessor-Collector,0917,33,9,42,147,28.57%,5,34,39
County Tax Assessor-Collector,0918,3,1,4,7,57.14%,1,3,4
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0919,1,0,1,1,100.00%,0,1,1
County Tax Assessor-Collector,0920,41,13,54,79,68.35%,33,19,52
County Tax Assessor-Collector,0921,27,6,33,61,54.10%,6,26,32
County Tax Assessor-Collector,0922,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0923,2331,350,2681,3536,75.82%,2024,616,2640
County Tax Assessor-Collector,0924,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0925,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0926,550,149,699,967,72.29%,484,196,680
County Tax Assessor-Collector,0927,966,173,1139,1771,64.31%,602,494,1096
County Tax Assessor-Collector,0928,4,1,5,7,71.43%,0,5,5
County Tax Assessor-Collector,0929,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0930,217,83,300,606,49.50%,27,263,290
County Tax Assessor-Collector,0931,87,28,115,141,81.56%,60,47,107
County Tax Assessor-Collector,0932,0,1,1,0,0.00%,0,1,1
County Tax Assessor-Collector,0933,297,93,390,668,58.38%,128,249,377
County Tax Assessor-Collector,0934,9,4,13,37,35.14%,7,6,13
County Tax Assessor-Collector,0935,12,9,21,55,38.18%,11,9,20
County Tax Assessor-Collector,0936,23,9,32,76,42.11%,11,19,30
County Tax Assessor-Collector,0937,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0938,72,19,91,255,35.69%,26,64,90
County Tax Assessor-Collector,0939,1,1,2,4,50.00%,1,1,2
County Tax Assessor-Collector,0940,9,3,12,28,42.86%,1,11,12
County Tax Assessor-Collector,0941,284,144,428,870,49.20%,216,190,406
County Tax Assessor-Collector,0942,102,16,118,152,77.63%,85,32,117
County Tax Assessor-Collector,0943,192,28,220,774,28.42%,52,156,208
County Tax Assessor-Collector,0944,1,0,1,1,100.00%,0,1,1
County Tax Assessor-Collector,0945,8,6,14,21,66.67%,4,9,13
County Tax Assessor-Collector,0946,4,2,6,14,42.86%,2,4,6
County Tax Assessor-Collector,0947,428,198,626,820,76.34%,321,276,597
County Tax Assessor-Collector,0948,0,0,0,1,0.00%,0,0,0
County Tax Assessor-Collector,0949,84,61,145,210,69.05%,71,68,139
County Tax Assessor-Collector,0950,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0951,114,62,176,304,57.89%,43,125,168
County Tax Assessor-Collector,0952,32,15,47,65,72.31%,29,17,46
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0953,4,0,4,8,50.00%,0,4,4
County Tax Assessor-Collector,0954,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0955,3528,572,4100,5108,80.27%,2935,1033,3968
County Tax Assessor-Collector,0956,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0957,282,39,321,585,54.87%,46,265,311
County Tax Assessor-Collector,0958,430,231,661,1202,54.99%,142,495,637
County Tax Assessor-Collector,0959,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0960,829,235,1064,1471,72.33%,251,787,1038
County Tax Assessor-Collector,0961,820,318,1138,2369,48.04%,201,895,1096
County Tax Assessor-Collector,0962,33,12,45,88,51.14%,11,32,43
County Tax Assessor-Collector,0963,225,91,316,528,59.85%,134,167,301
County Tax Assessor-Collector,0964,2145,325,2470,3179,77.70%,1458,949,2407
County Tax Assessor-Collector,0965,101,35,136,345,39.42%,92,42,134
County Tax Assessor-Collector,0966,368,189,557,1332,41.82%,139,385,524
County Tax Assessor-Collector,0967,82,24,106,186,56.99%,41,60,101
County Tax Assessor-Collector,0968,455,127,582,906,64.24%,132,436,568
County Tax Assessor-Collector,0969,299,71,370,624,59.29%,14,348,362
County Tax Assessor-Collector,0970,223,102,325,810,40.12%,34,272,306
County Tax Assessor-Collector,0971,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0972,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0973,504,138,642,999,64.26%,428,198,626
County Tax Assessor-Collector,0974,0,1,1,0,0.00%,1,0,1
County Tax Assessor-Collector,0975,104,26,130,190,68.42%,57,65,122
County Tax Assessor-Collector,0976,190,152,342,712,48.03%,173,151,324
County Tax Assessor-Collector,0977,160,108,268,617,43.44%,96,165,261
County Tax Assessor-Collector,0978,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0979,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0980,686,333,1019,1412,72.17%,725,265,990
County Tax Assessor-Collector,0981,12,2,14,31,45.16%,2,12,14
County Tax Assessor-Collector,0982,1898,501,2399,2916,82.27%,1841,502,2343
County Tax Assessor-Collector,0983,65,17,82,198,41.41,%,44,36,80
County Tax Assessor-Collector,0984,76,57,133,341,39.00%,11,120,131
County Tax Assessor-Collector,0985,222,56,278,355,78.31%,135,135,270
County Tax Assessor-Collector,0986,153,78,231,537,43.02%,29,194,223
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,Totals
County Tax Assessor-Collector,0987,476,130,606,1183,51.23%,47,538,585
County Tax Assessor-Collector,0988,62,15,77,117,65.81%,65,10,75
County Tax Assessor-Collector,0989,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0990,5,6,11,66,16.67%,4,7,11
County Tax Assessor-Collector,0991,0,1,1,2,50.00%,0,1,1
County Tax Assessor-Collector,0992,456,106,562,1075,52.28%,266,271,537
County Tax Assessor-Collector,0993,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,0994,56,12,68,75,90.67%,21,45,66
County Tax Assessor-Collector,0995,753,193,946,1576,60.03%,119,801,920
County Tax Assessor-Collector,0996,403,70,473,708,66.81%,268,190,458
County Tax Assessor-Collector,0997,521,283,804,1909,42.12%,163,625,788
County Tax Assessor-Collector,0998,24,12,36,68,52.94%,24,10,34
County Tax Assessor-Collector,0999,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,1000,122,22,144,428,33.64%,23,117,140
County Tax Assessor-Collector,1001,519,280,799,1654,48.31%,169,595,764
County Tax Assessor-Collector,1002,480,270,750,1804,41.57%,118,598,716
County Tax Assessor-Collector,1003,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,1004,349,114,463,691,67.00%,240,210,450
County Tax Assessor-Collector,1005,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,1006,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,1007,694,306,1000,1775,56.34%,252,719,971
County Tax Assessor-Collector,1008,620,107,727,1011,71.91%,576,135,711
County Tax Assessor-Collector,1009,0,0,0,0,0.00%,0,0,0
County Tax Assessor-Collector,1010,292,96,388,647,59.97%,78,299,377
County Tax Assessor-Collector,1011,9,6,15,31,48.39%,11,4,15
County Tax Assessor-Collector,1012,543,362,905,1633,55.42%,250,617,867
County Tax Assessor-Collector,Totals:,981446,353327,1334773,2182980,640140,648243,1288383
