Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0248,454,347,801,2147,37.31%,190,556,13,9,768
"Justice, Supreme Court, Place 9",0249,1127,365,1492,2825,52.81%,906,495,42,23,1466
"Justice, Supreme Court, Place 9",0250,288,183,471,925,50.92%,20,438,2,4,464
"Justice, Supreme Court, Place 9",0251,806,378,1184,2132,55.53%,64,1060,9,8,1141
"Justice, Supreme Court, Place 9",0252,927,309,1236,2292,53.93%,26,1159,6,10,1201
"Justice, Supreme Court, Place 9",0253,760,311,1071,2154,49.72%,34,1004,9,5,1052
"Justice, Supreme Court, Place 9",0254,411,280,691,1675,41.25%,163,476,11,12,662
"Justice, Supreme Court, Place 9",0255,1257,586,1843,2489,74.05%,836,844,55,24,1759
"Justice, Supreme Court, Place 9",0256,1398,583,1981,3321,59.65%,696,1127,36,38,1897
"Justice, Supreme Court, Place 9",0257,999,622,1621,3497,46.35%,398,1110,27,27,1562
"Justice, Supreme Court, Place 9",0258,1948,608,2556,3346,76.39%,1838,536,79,22,2475
"Justice, Supreme Court, Place 9",0259,1031,414,1445,2312,62.50%,35,1351,14,6,1406
"Justice, Supreme Court, Place 9",0260,548,227,775,1300,59.62%,373,345,17,10,745
"Justice, Supreme Court, Place 9",0261,442,531,973,1457,66.78%,295,610,17,6,928
"Justice, Supreme Court, Place 9",0262,1849,676,2525,4397,57.43%,1339,970,86,31,2426
"Justice, Supreme Court, Place 9",0263,2212,665,2877,4016,71.64%,1984,708,62,24,2778
"Justice, Supreme Court, Place 9",0264,1114,627,1741,3101,56.14%,858,709,63,30,1660
"Justice, Supreme Court, Place 9",0265,1995,608,2603,3582,72.67%,1838,574,65,25,2502
"Justice, Supreme Court, Place 9",0266,737,443,1180,2147,54.96%,446,640,26,18,1130
"Justice, Supreme Court, Place 9",0267,421,293,714,1433,49.83%,263,392,17,12,684
"Justice, Supreme Court, Place 9",0268,1178,689,1867,2528,73.85%,1094,629,48,16,1787
"Justice, Supreme Court, Place 9",0269,1307,365,1672,2114,79.09%,1285,302,20,7,1614
"Justice, Supreme Court, Place 9",0270,1816,688,2504,3985,62.84%,1231,1028,74,57,2390
"Justice, Supreme Court, Place 9",0271,1150,346,1496,2558,58.48%,35,1413,12,8,1468
"Justice, Supreme Court, Place 9",0272,871,415,1286,2334,55.10%,441,726,50,23,1240
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0273,1176,647,1823,2485,73.36%,1433,307,33,12,1785
"Justice, Supreme Court, Place 9",0274,1263,311,1574,2223,70.81%,987,445,46,28,1506
"Justice, Supreme Court, Place 9",0275,586,334,920,2059,44.68%,171,696,15,10,892
"Justice, Supreme Court, Place 9",0276,1027,255,1282,2458,52.16%,19,1227,8,5,1259
"Justice, Supreme Court, Place 9",0277,573,338,911,1898,48.00%,319,526,18,15,878
"Justice, Supreme Court, Place 9",0278,1059,469,1528,2602,58.72%,667,741,28,24,1460
"Justice, Supreme Court, Place 9",0279,790,314,1104,2073,53.26%,610,409,31,17,1067
"Justice, Supreme Court, Place 9",0280,444,362,806,1656,48.67%,245,494,22,10,771
"Justice, Supreme Court, Place 9",0281,1287,590,1877,2507,74.87%,971,735,42,20,1768
"Justice, Supreme Court, Place 9",0282,777,604,1381,2144,64.41%,773,508,43,16,1340
"Justice, Supreme Court, Place 9",0283,2353,1143,3496,6365,54.93%,550,2732,63,53,3398
"Justice, Supreme Court, Place 9",0284,1592,574,2166,4079,53.10%,719,1276,45,29,2069
"Justice, Supreme Court, Place 9",0285,1080,431,1511,2680,56.38%,152,1282,18,14,1466
"Justice, Supreme Court, Place 9",0286,1714,545,2259,3757,60.13%,216,1931,36,18,2201
"Justice, Supreme Court, Place 9",0287,853,408,1261,1658,76.06%,619,527,41,28,1215
"Justice, Supreme Court, Place 9",0288,883,314,1197,2208,54.21%,31,1128,5,11,1175
"Justice, Supreme Court, Place 9",0289,481,352,833,1584,52.59%,313,443,16,12,784
"Justice, Supreme Court, Place 9",0290,705,332,1037,1623,63.89%,742,235,36,6,1019
"Justice, Supreme Court, Place 9",0291,604,233,837,1218,68.72%,368,402,31,5,806
"Justice, Supreme Court, Place 9",0292,549,178,727,1379,52.72%,91,595,9,8,703
"Justice, Supreme Court, Place 9",0293,778,475,1253,1811,69.19%,523,599,44,23,1189
"Justice, Supreme Court, Place 9",0294,852,198,1050,2054,51.12%,15,1005,6,7,1033
"Justice, Supreme Court, Place 9",0295,270,111,381,894,42.62%,10,355,3,3,371
"Justice, Supreme Court, Place 9",0296,701,385,1086,1705,63.70%,544,432,29,21,1026
"Justice, Supreme Court, Place 9",0297,730,341,1071,2055,52.12%,372,609,31,25,1037
"Justice, Supreme Court, Place 9",0298,1096,387,1483,2236,66.32%,726,638,54,20,1438
"Justice, Supreme Court, Place 9",0299,499,236,735,1506,48.80%,227,435,16,20,698
"Justice, Supreme Court, Place 9",0300,3386,728,4114,5480,75.07%,3024,841,116,22,4003
"Justice, Supreme Court, Place 9",0301,737,392,1129,2337,48.31%,385,649,34,10,1078
"Justice, Supreme Court, Place 9",0302,1199,591,1790,3277,54.62%,875,786,49,21,1731
"Justice, Supreme Court, Place 9",0303,1902,692,2594,3375,76.86%,1989,462,45,17,2513
"Justice, Supreme Court, Place 9",0304,1190,474,1664,2326,71.54%,916,579,59,28,1582
"Justice, Supreme Court, Place 9",0305,2156,645,2801,4838,57.90%,889,1709,70,39,2707
"Justice, Supreme Court, Place 9",0306,1096,299,1395,1896,73.58%,974,316,39,16,1345
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0307,1458,801,2259,3270,69.08%,1429,604,97,36,2166
"Justice, Supreme Court, Place 9",0308,527,225,752,1457,51.61%,197,498,17,7,719
"Justice, Supreme Court, Place 9",0309,2151,591,2752,3495,78.74%,2118,496,49,12,2675
"Justice, Supreme Court, Place 9",0310,710,326,1036,1464,70.77%,625,323,31,8,987
"Justice, Supreme Court, Place 9",0311,932,643,1575,3222,48.88%,722,715,31,20,1488
"Justice, Supreme Court, Place 9",0312,1713,552,2265,3724,60.82%,1149,924,74,33,2180
"Justice, Supreme Court, Place 9",0313,23,8,31,61,50.82%,17,7,0,1,25
"Justice, Supreme Court, Place 9",0314,3000,817,3817,5606,68.09%,2106,1460,94,56,3716
"Justice, Supreme Court, Place 9",0315,803,353,1156,1636,70.66%,669,397,25,13,1104
"Justice, Supreme Court, Place 9",0316,741,340,1081,1513,71.45%,597,378,46,14,1035
"Justice, Supreme Court, Place 9",0317,594,252,846,1661,50.93%,218,559,16,16,809
"Justice, Supreme Court, Place 9",0318,1729,529,2258,3776,59.80%,146,2005,30,24,2205
"Justice, Supreme Court, Place 9",0319,996,271,1267,2199,57.62%,75,1140,11,14,1240
"Justice, Supreme Court, Place 9",0320,556,238,794,1570,50.57%,293,444,15,7,759
"Justice, Supreme Court, Place 9",0321,857,363,1230,2483,49.54%,378,729,20,26,1153
"Justice, Supreme Court, Place 9",0322,426,124,550,1210,45.45%,160,359,12,6,537
"Justice, Supreme Court, Place 9",0323,700,296,996,1793,55.55%,376,537,34,12,959
"Justice, Supreme Court, Place 9",0324,1445,560,2005,2607,76.91%,1243,582,73,26,1924
"Justice, Supreme Court, Place 9",0325,802,257,1059,2176,48.67%,205,766,19,17,1007
"Justice, Supreme Court, Place 9",0326,271,129,400,736,54.35%,157,210,2,7,376
"Justice, Supreme Court, Place 9",0327,740,141,881,1758,50.11%,26,811,7,8,852
"Justice, Supreme Court, Place 9",0328,425,286,711,1631,43.59%,225,436,11,8,680
"Justice, Supreme Court, Place 9",0329,592,260,852,1621,52.56%,277,508,17,12,814
"Justice, Supreme Court, Place 9",0330,864,326,1190,2146,55.45%,519,571,44,8,1142
"Justice, Supreme Court, Place 9",0331,888,234,1122,1612,69.60%,682,350,43,10,1085
"Justice, Supreme Court, Place 9",0332,1359,503,1852,2926,63.64%,232,1533,17,27,1809
"Justice, Supreme Court, Place 9",0333,1387,942,2329,3296,70.66%,1566,552,99,38,2255
"Justice, Supreme Court, Place 9",0334,247,104,351,786,44.66%,53,276,4,4,337
"Justice, Supreme Court, Place 9",0335,489,293,782,1679,46.58%,197,510,16,14,737
"Justice, Supreme Court, Place 9",0336,2496,689,3185,4771,66.76%,334,2697,62,33,3126
"Justice, Supreme Court, Place 9",0337,371,155,526,1108,47.47%,83,406,5,5,499
"Justice, Supreme Court, Place 9",0338,1627,632,2259,5001,45.17%,599,1494,39,28,2160
"Justice, Supreme Court, Place 9",0339,705,303,1008,1909,52.80%,233,694,20,12,959
"Justice, Supreme Court, Place 9",0340,2042,654,2696,4012,67.20%,1832,637,98,39,2606
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0341,380,278,658,1372,47.96%,181,426,13,4,624
"Justice, Supreme Court, Place 9",0342,312,225,537,1092,49.18%,126,375,7,5,513
"Justice, Supreme Court, Place 9",0343,723,370,1093,2099,52.07%,249,754,19,19,1041
"Justice, Supreme Court, Place 9",0344,381,207,588,1225,48.00%,22,531,7,3,563
"Justice, Supreme Court, Place 9",0345,580,349,929,1945,47.76%,182,653,38,14,887
"Justice, Supreme Court, Place 9",0346,1,0,1,1,100.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0347,1462,618,2080,3614,57.55%,1197,742,56,29,2024
"Justice, Supreme Court, Place 9",0348,832,242,1074,1796,59.80%,697,302,33,7,1039
"Justice, Supreme Court, Place 9",0349,459,369,828,1372,60.35%,461,302,35,10,808
"Justice, Supreme Court, Place 9",0350,1590,582,2272,3269,69.50%,851,1189,69,36,2145
"Justice, Supreme Court, Place 9",0351,2857,570,3427,4799,71.41%,2522,684,97,20,3323
"Justice, Supreme Court, Place 9",0352,2025,538,2563,4278,59.91%,1736,665,70,31,2502
"Justice, Supreme Court, Place 9",0353,1715,659,2374,4156,57.12%,434,1815,29,23,2301
"Justice, Supreme Court, Place 9",0354,1572,429,2001,3520,56.85%,469,1402,31,27,1929
"Justice, Supreme Court, Place 9",0355,821,239,1050,1714,61.84%,117,893,13,7,1030
"Justice, Supreme Court, Place 9",0356,1544,582,2126,3126,68.01%,1162,799,77,22,2060
"Justice, Supreme Court, Place 9",0357,1886,557,2443,3685,66.30%,1700,566,74,27,2367
"Justice, Supreme Court, Place 9",0358,775,376,1151,2634,43.70%,137,952,17,12,1118
"Justice, Supreme Court, Place 9",0359,805,496,1301,3320,39.19%,138,1102,17,12,1269
"Justice, Supreme Court, Place 9",0360,1867,597,2464,3309,74.46%,1182,1055,77,35,2349
"Justice, Supreme Court, Place 9",0361,332,688,1020,1808,56.42%,166,728,37,14,945
"Justice, Supreme Court, Place 9",0362,2865,553,3418,5161,66.23%,2317,864,97,33,3311
"Justice, Supreme Court, Place 9",0363,1826,635,2461,4160,59.16%,992,1344,47,25,2408
"Justice, Supreme Court, Place 9",0364,1190,528,1718,2827,60.77%,772,797,52,25,1646
"Justice, Supreme Court, Place 9",0365,828,174,1002,1348,74.33%,123,847,11,6,987
"Justice, Supreme Court, Place 9",0366,989,524,1513,2887,52.41%,343,1071,30,21,1465
"Justice, Supreme Court, Place 9",0367,455,204,659,1256,52.47%,152,451,17,9,629
"Justice, Supreme Court, Place 9",0368,433,122,555,1024,54.20%,153,378,4,5,540
"Justice, Supreme Court, Place 9",0369,136,29,165,678,24.34%,56,79,14,6,155
"Justice, Supreme Court, Place 9",0370,2525,627,3152,4531,69.57%,2193,748,83,37,3061
"Justice, Supreme Court, Place 9",0371,210,78,288,537,53.63%,10,265,5,4,284
"Justice, Supreme Court, Place 9",0372,510,180,690,1274,54.16%,83,578,5,5,671
"Justice, Supreme Court, Place 9",0373,61,13,74,163,45.40%,4,66,1,0,71
"Justice, Supreme Court, Place 9",0374,175,165,341,720,47.36%,94,230,2,4,330
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0375,747,510,1257,2836,44.32%,442,723,21,14,1200
"Justice, Supreme Court, Place 9",0376,755,344,1099,2060,53.35%,407,606,21,8,1042
"Justice, Supreme Court, Place 9",0377,1382,643,2025,3137,64.55%,1461,396,77,30,1964
"Justice, Supreme Court, Place 9",0378,622,447,1069,1856,57.60%,631,352,40,16,1039
"Justice, Supreme Court, Place 9",0379,857,388,1245,2149,57.93%,120,1063,13,21,1217
"Justice, Supreme Court, Place 9",0380,2736,551,3287,4380,75.05%,1661,1414,111,22,3208
"Justice, Supreme Court, Place 9",0381,1186,432,1618,3141,51.51%,616,883,37,24,1560
"Justice, Supreme Court, Place 9",0382,429,206,635,1035,61.35%,378,213,18,9,618
"Justice, Supreme Court, Place 9",0383,723,458,1181,2373,49.77%,369,710,30,19,1128
"Justice, Supreme Court, Place 9",0384,1153,444,1597,2725,58.61%,373,1154,12,10,1549
"Justice, Supreme Court, Place 9",0385,1142,561,1703,2207,77.16%,1300,299,29,10,1638
"Justice, Supreme Court, Place 9",0386,1658,419,2077,3105,66.89%,1436,527,42,26,2031
"Justice, Supreme Court, Place 9",0387,1706,780,2486,4340,57.28%,1614,701,61,41,2417
"Justice, Supreme Court, Place 9",0388,2899,711,3610,5413,66.69%,1679,1696,94,30,3499
"Justice, Supreme Court, Place 9",0389,408,293,701,1359,51.58%,108,523,29,18,678
"Justice, Supreme Court, Place 9",0390,708,271,979,1482,66.06%,150,764,27,12,953
"Justice, Supreme Court, Place 9",0391,992,336,1328,1978,67.14%,771,464,37,18,1290
"Justice, Supreme Court, Place 9",0392,653,145,798,1426,55.96%,16,745,7,8,776
"Justice, Supreme Court, Place 9",0393,427,257,684,1274,53.69%,303,321,27,11,662
"Justice, Supreme Court, Place 9",0394,236,126,362,914,39.61%,122,214,5,6,347
"Justice, Supreme Court, Place 9",0395,1007,371,1378,1875,73.49%,917,346,59,16,1338
"Justice, Supreme Court, Place 9",0396,1036,204,1240,2072,59.85%,33,1161,8,6,1208
"Justice, Supreme Court, Place 9",0397,204,117,321,796,40.33%,117,178,8,2,305
"Justice, Supreme Court, Place 9",0398,1762,654,2416,4200,57.52%,1049,1184,61,34,2328
"Justice, Supreme Court, Place 9",0399,1294,546,1840,3340,55.09%,678,1046,42,20,1786
"Justice, Supreme Court, Place 9",0400,1467,372,1839,2661,69.11%,1166,555,59,19,1799
"Justice, Supreme Court, Place 9",0401,703,257,960,1971,48.71%,44,862,11,3,920
"Justice, Supreme Court, Place 9",0402,898,262,1160,1911,60.70%,80,1034,5,12,1131
"Justice, Supreme Court, Place 9",0403,959,387,1346,1719,78.30%,757,480,31,16,1284
"Justice, Supreme Court, Place 9",0404,1034,445,1479,2717,54.44%,693,683,38,14,1428
"Justice, Supreme Court, Place 9",0405,1914,457,2371,3067,77.31%,1738,528,45,11,2322
"Justice, Supreme Court, Place 9",0406,275,65,340,649,52.39%,8,317,2,2,329
"Justice, Supreme Court, Place 9",0407,1704,860,2564,3969,64.60%,1498,849,83,34,2464
"Justice, Supreme Court, Place 9",0408,521,313,834,1740,47.93%,270,492,22,9,793
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0409,501,280,781,1608,48.57%,236,478,21,7,742
"Justice, Supreme Court, Place 9",0410,382,96,478,934,51.18%,91,357,7,6,461
"Justice, Supreme Court, Place 9",0411,699,418,1117,2426,46.04%,298,735,25,13,1071
"Justice, Supreme Court, Place 9",0412,156,80,236,478,49.37%,12,211,4,3,230
"Justice, Supreme Court, Place 9",0413,1549,456,2005,3081,65.08%,742,1136,36,19,1933
"Justice, Supreme Court, Place 9",0414,1577,514,2091,3586,58.31%,1471,480,63,21,2035
"Justice, Supreme Court, Place 9",0415,1076,573,1649,2284,72.20%,1076,435,63,25,1599
"Justice, Supreme Court, Place 9",0416,1444,845,2289,4009,57.10%,1070,999,93,43,2205
"Justice, Supreme Court, Place 9",0417,1105,397,1502,2589,58.01%,632,761,41,26,1460
"Justice, Supreme Court, Place 9",0418,1337,663,2000,3940,50.76%,676,1156,44,30,1906
"Justice, Supreme Court, Place 9",0419,1166,477,1643,2702,60.81%,913,607,45,20,1585
"Justice, Supreme Court, Place 9",0420,2690,731,3421,4946,69.17%,2685,525,84,37,3331
"Justice, Supreme Court, Place 9",0421,1242,273,1515,2023,74.89%,695,720,46,17,1478
"Justice, Supreme Court, Place 9",0422,1357,401,1758,3348,52.81%,72,1626,17,17,1732
"Justice, Supreme Court, Place 9",0423,31,e,288,604,1423,42.45%,131,441,5,7,584
"Justice, Supreme Court, Place 9",0424,548,158,706,1079,65.43%,367,281,26,9,683
"Justice, Supreme Court, Place 9",0425,257,139,396,878,45.10%,113,252,13,4,382
"Justice, Supreme Court, Place 9",0426,487,228,715,1266,56.48%,359,296,15,12,682
"Justice, Supreme Court, Place 9",0427,439,155,594,1120,53.04%,199,344,10,3,556
"Justice, Supreme Court, Place 9",0428,1689,865,2554,5151,49.58%,641,1729,30,26,2426
"Justice, Supreme Court, Place 9",0429,948,649,1597,3311,48.23%,330,1141,30,24,1525
"Justice, Supreme Court, Place 9",0430,527,291,818,1794,45.60%,123,607,19,24,773
"Justice, Supreme Court, Place 9",0431,1222,604,1826,3860,47.31%,379,1300,37,39,1755
"Justice, Supreme Court, Place 9",0432,458,249,707,1568,45.09%,216,426,24,7,673
"Justice, Supreme Court, Place 9",0433,163,88,251,561,44.74%,56,176,7,4,243
"Justice, Supreme Court, Place 9",0434,834,293,1127,1557,72.38%,654,378,35,16,1083
"Justice, Supreme Court, Place 9",0435,1952,567,2519,3363,74.90%,1583,741,70,26,2420
"Justice, Supreme Court, Place 9",0436,2013,678,2691,3809,70.65%,1492,970,82,42,2586
"Justice, Supreme Court, Place 9",0437,1148,425,1573,2094,75.12%,1050,423,46,11,1530
"Justice, Supreme Court, Place 9",0438,2292,475,2767,3789,73.03%,1900,665,86,21,2672
"Justice, Supreme Court, Place 9",0439,1856,749,2605,3701,70.39%,1737,673,74,19,2503
"Justice, Supreme Court, Place 9",0440,1499,749,2248,2973,75.61%,1712,411,42,8,2173
"Justice, Supreme Court, Place 9",0441,824,408,1232,1695,72.68%,850,300,29,13,1192
"Justice, Supreme Court, Place 9",0442,2442,685,3127,4315,72.47%,2448,452,111,22,3033
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0443,415,83,498,642,77.57%,364,97,16,6,483
"Justice, Supreme Court, Place 9",0444,1623,679,2302,3625,63.50%,1243,855,73,29,2200
"Justice, Supreme Court, Place 9",0445,1036,382,1418,2134,66.45%,837,476,38,14,1365
"Justice, Supreme Court, Place 9",0446,89,45,134,309,43.37%,45,78,3,3,129
"Justice, Supreme Court, Place 9",0447,2416,464,2880,3727,77.27%,1846,831,95,21,2793
"Justice, Supreme Court, Place 9",0448,1766,529,2295,3155,72.74%,1297,773,79,28,2177
"Justice, Supreme Court, Place 9",0449,73,26,99,225,44.00%,12,84,0,1,97
"Justice, Supreme Court, Place 9",0450,1106,394,1500,2890,51.90%,385,1015,36,22,1458
"Justice, Supreme Court, Place 9",0451,1720,367,2087,2771,75.32%,1645,338,34,12,2029
"Justice, Supreme Court, Place 9",0452,1875,662,2537,3789,66.96%,1628,702,85,42,2457
"Justice, Supreme Court, Place 9",0453,663,417,1080,2039,52.97%,308,678,22,24,1032
"Justice, Supreme Court, Place 9",0454,1043,288,1331,2509,53.05%,25,1257,8,4,1294
"Justice, Supreme Court, Place 9",0455,669,173,842,1713,49.15%,39,768,4,4,815
"Justice, Supreme Court, Place 9",0456,1407,553,1960,3793,51.67%,1015,809,43,24,1891
"Justice, Supreme Court, Place 9",0457,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 9",0458,918,253,1171,2025,57.83%,97,1020,11,8,1136
"Justice, Supreme Court, Place 9",0459,2362,432,2794,3942,70.88%,2062,559,86,14,2721
"Justice, Supreme Court, Place 9",0460,1615,472,2087,3280,63.63%,515,1451,43,24,2033
"Justice, Supreme Court, Place 9",0461,2244,669,2913,4054,71.85%,1795,885,73,26,2779
"Justice, Supreme Court, Place 9",0462,1478,738,2215,3507,63.19%,738,1334,46,34,2152
"Justice, Supreme Court, Place 9",0463,1575,564,2239,3773,59.34%,853,1250,56,29,2188
"Justice, Supreme Court, Place 9",0464,967,582,1549,2343,66.11%,927,489,63,14,1493
"Justice, Supreme Court, Place 9",0465,1629,594,2223,3778,58.84%,972,1071,72,31,2146
"Justice, Supreme Court, Place 9",0466,2278,509,2787,4327,64.41%,1385,1234,62,30,2711
"Justice, Supreme Court, Place 9",0467,502,225,727,1320,55.08%,165,525,10,4,704
"Justice, Supreme Court, Place 9",0468,1380,747,2127,4040,52.65%,542,1435,35,25,2037
"Justice, Supreme Court, Place 9",0469,1858,462,2330,3257,71.54%,1749,421,67,23,2260
"Justice, Supreme Court, Place 9",0470,555,232,787,1358,57.95%,546,169,27,15,757
"Justice, Supreme Court, Place 9",0471,1057,458,1515,2473,61.26%,1089,313,48,25,1475
"Justice, Supreme Court, Place 9",0472,463,339,802,1131,70.91%,365,364,28,9,766
"Justice, Supreme Court, Place 9",0473,944,390,1334,1787,74.65%,898,337,44,15,1294
"Justice, Supreme Court, Place 9",0474,1421,624,2045,3127,65.40%,1273,618,78,20,1989
"Justice, Supreme Court, Place 9",0475,791,251,1052,1936,54.34%,409,568,20,13,1010
"Justice, Supreme Court, Place 9",0476,1078,405,1483,2458,60.33%,777,618,31,17,1443
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Eva Guzman,DEM Savannah Robinson,LIB Don Fulton,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 9",0477,2032,640,2672,4010,66.63%,1774,697,84,22,2577
"Justice, Supreme Court, Place 9",0478,2273,683,2956,4696,62.95%,1770,953,96,38,2857
"Justice, Supreme Court, Place 9",0479,1,978,755,2733,3851,70.97%,1931,606,93,30,2660
"Justice, Supreme Court, Place 9",0480,1448,538,1986,2978,66.69%,1292,561,64,12,1929
"Justice, Supreme Court, Place 9",0481,1759,667,2426,3609,67.22%,1685,534,78,40,2337
"Justice, Supreme Court, Place 9",0482,2260,618,2878,4405,65.33%,1878,798,100,27,2803
"Justice, Supreme Court, Place 9",0483,2312,538,2850,4495,63.40%,1414,1189,93,56,2752
"Justice, Supreme Court, Place 9",0484,2021,700,2721,3981,68.35%,1677,857,80,28,2642
"Justice, Supreme Court, Place 9",0485,2121,567,2588,4051,66.35%,1829,669,94,26,2618
"Justice, Supreme Court, Place 9",0486,2310,721,3031,4195,72.25%,2226,602,100,20,2948
"Justice, Supreme Court, Place 9",0487,1407,527,1934,4142,46.69%,469,1276,28,21,1794
"Justice, Supreme Court, Place 9",0488,843,511,1354,2382,56.84%,370,877,30,21,1298
"Justice, Supreme Court, Place 9",0489,865,344,1209,1958,61.75%,342,794,22,14,1172
"Justice, Supreme Court, Place 9",0490,982,346,1328,2105,63.09%,432,797,35,16,1280
"Justice, Supreme Court, Place 9",0491,947,488,1435,2110,68.01%,746,565,51,19,1381
"Justice, Supreme Court, Place 9",0492,1222,396,1618,2552,63.40%,819,697,40,12,1568
"Justice, Supreme Court, Place 9",0493,1404,555,1959,3338,58.69%,715,1076,51,16,1858
"Justice, Supreme Court, Place 9",0494,1079,419,1498,2787,53.75%,197,1206,26,16,1445
"Justice, Supreme Court, Place 9",0495,1414,376,1790,2488,71.95%,1179,478,46,21,1724
