Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0329,589,260,849,1621,52.38%,229,584,813
Sheriff,0330,863,326,1189,2146,55.41%,510,636,1146
Sheriff,0331,884,234,1118,1612,69.35%,682,393,1075
Sheriff,0332,1355,503,1858,2926,63.50%,179,1615,1794
Sheriff,0333,1385,942,2327,3296,70.60%,1601,625,2226
Sheriff,0334,246,104,350,786,44.53%,60,278,338
Sheriff,0335,489,293,782,1679,46.58%,186,546,732
Sheriff,0336,2489,689,3178,4771,66.61%,320,2788,3108
Sheriff,0337,367,155,522,1108,47.11%,70,426,496
Sheriff,0338,1626,632,2258,5001,45.15%,567,1594,2161
Sheriff,0339,704,303,1007,1909,52.75%,162,805,967
Sheriff,0340,2040,654,2694,4012,67.15%,1896,713,2609
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0341,380,278,658,1372,47.96%,131,501,632
Sheriff,0342,311,225,536,1092,49.08%,116,398,514
Sheriff,0343,722,370,1092,2099,52.02%,186,861,1047
Sheriff,0344,381,207,588,1225,48.00%,21,540,561
Sheriff,0345,575,349,924,1945,47.51%,165,704,869
Sheriff,0346,1,0,1,1,100.00%,0,0,0
Sheriff,0347,1461,618,2079,3614,57.53%,1174,842,2016
Sheriff,0348,830,242,1072,1796,59.69%,713,328,1041
Sheriff,0349,458,369,827,1372,60.28%,490,318,808
Sheriff,0350,1674,582,2256,3269,69.01%,765,1343,2108
Sheriff,0351,2855,570,3425,4799,71.37%,2560,773,3333
Sheriff,0352,2023,538,2561,4278,59.86%,1747,727,2474
Sheriff,0353,1715,659,2374,4156,57.12%,411,1905,2316
Sheriff,0354,1569,429,1998,3520,56.76%,484,1449,1933
Sheriff,0355,821,239,1060,1714,61.84%,110,922,1032
Sheriff,0356,1542,582,2124,3126,67.95%,1128,906,2034
Sheriff,0357,1882,557,2439,3685,66.19%,1744,610,2354
Sheriff,0358,775,376,1151,2634,43.70%,139,978,1117
Sheriff,0359,803,496,1299,3320,39.13%,127,1139,1266
Sheriff,0360,1858,597,2455,3309,74.19%,1076,1239,2315
Sheriff,0361,323,688,1011,1808,55.92%,133,793,926
Sheriff,0362,2865,553,3418,5161,66.23%,2326,986,3312
Sheriff,0363,1826,635,2461,4160,59.16%,1008,1405,2413
Sheriff,0364,1190,528,1718,2827,60.77%,777,871,1648
Sheriff,0365,827,174,1001,1348,74.26%,119,863,982
Sheriff,0366,988,524,1512,2887,52.37%,310,1143,1453
Sheriff,0367,453,204,657,1256,52.31%,144,488,632
Sheriff,0368,433,122,555,1024,54.20%,146,393,539
Sheriff,0369,132,29,161,678,23.75%,52,99,151
Sheriff,0370,2525,627,3152,4531,69.57%,2240,832,3072
Sheriff,0371,210,78,288,537,53.63%,15,268,283
Sheriff,0372,509,180,689,1274,54.08%,78,584,662
Sheriff,0373,61,13,74,163,45.40%,0,72,72
Sheriff,0374,176,165,341,720,47.36%,73,261,334
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0375,745,510,1255,2836,44.25%,437,763,1200
Sheriff,0376,753,344,1097,2060,53.25%,413,636,1049
Sheriff,0377,1381,643,2024,3137,64.52%,1514,442,1956
Sheriff,0378,621,447,1068,1856,57.54%,641,394,1035
Sheriff,0379,857,388,1245,2149,57.93%,103,1110,1213
Sheriff,0380,2732,551,3283,4380,74.95%,1693,1495,3188
Sheriff,0381,1185,432,1517,3141,51.48%,622,943,1565
Sheriff,0382,429,206,635,1035,61.35%,393,220,613
Sheriff,0383,722,458,1180,2373,49.73%,349,780,1129
Sheriff,0384,1152,444,1596,2725,58.57%,349,1194,1543
Sheriff,0385,1141,561,1702,2207,77.12%,1247,391,1638
Sheriff,0386,1658,419,2077,3105,66.89%,1466,559,2025
Sheriff,0387,1702,780,2482,4340,57.19%,1657,755,2412
Sheriff,0388,2899,711,3510,5413,66.69%,1683,1817,3500
Sheriff,0389,397,293,690,1359,50.77%,88,566,654
Sheriff,0390,698,271,969,1482,65.38%,123,812,935
Sheriff,0391,986,336,1322,1978,66.84%,765,509,1274
Sheriff,0392,652,145,797,1426,55.89%,19,757,776
Sheriff,0393,427,257,684,1274,53.69%,313,345,658
Sheriff,0394,236,126,362,914,39.61%,118,225,343
Sheriff,0395,1007,371,1378,1875,73.49%,894,433,1327
Sheriff,0396,1035,204,1239,2072,59.80%,50,1153,1203
Sheriff,0397,204,117,321,796,40.33%,117,188,305
Sheriff,0398,1761,654,2415,4200,57.50%,1077,1255,2332
Sheriff,0399,1291,546,1837,3340,55.00%,707,1083,1790
Sheriff,0400,1457,372,1839,2661,69.11%,1172,617,1789
Sheriff,0401,703,257,960,1971,48.71%,51,871,922
Sheriff,0402,897,262,1159,1911,60.65%,78,1049,1127
Sheriff,0403,959,387,1346,1719,78.30%,660,618,1278
Sheriff,0404,1033,445,1478,2717,54.40%,675,757,1432
Sheriff,0405,1910,457,2367,3067,77.18%,1761,571,2332
Sheriff,0406,275,65,340,649,52.39%,11,319,330
Sheriff,0407,1703,860,2563,3969,64.58%,1470,990,2460
Sheriff,0408,520,313,833,1740,47.87%,250,539,789
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0409,501,280,781,1608,48.57%,218,523,741
Sheriff,0410,381,96,477,934,51.07%,91,372,463
Sheriff,0411,699,418,1117,2426,46.04%,258,807,1065
Sheriff,0412,156,80,236,478,49.37%,15,215,230
Sheriff,0413,1546,456,2002,3081,64.98%,760,1179,1939
Sheriff,0414,1573,514,2087,3586,58.20%,1501,521,2022
Sheriff,0415,1076,573,1649,2284,72.20%,1072,514,1586
Sheriff,0416,1443,845,2288,4009,57.07%,1085,1114,2199
Sheriff,0417,1104,397,1501,2589,57.98%,609,841,1450
Sheriff,0418,1336,663,1999,3940,50.74%,617,1276,1893
Sheriff,0419,1166,477,1643,2702,60.81%,933,662,1595
Sheriff,0420,2687,731,3418,4946,69.11%,2746,582,3328
Sheriff,0421,1240,273,1513,2023,74.79%,705,762,1467
Sheriff,0422,1357,401,1768,3348,52.81%,78,1645,1723
Sheriff,0423,316,288,604,1423,42.45%,121,461,582
Sheriff,0424,548,158,706,1079,65.43%,357,324,681
Sheriff,0425,257,139,396,878,45.10%,111,270,381
Sheriff,0426,485,228,713,1266,56.32%,347,337,684
Sheriff,0427,437,155,592,1120,52.86%,188,371,559
Sheriff,0428,1588,865,2553,5151,49.56%,614,1802,2416
Sheriff,0429,947,649,1596,3311,48.20%,333,1197,1530
Sheriff,0430,524,291,815,1794,45.43%,131,637,768
Sheriff,0431,1218,604,1822,3860,47.20%,362,1379,1741
Sheriff,0432,456,249,705,1568,44.96%,200,465,665
Sheriff,0433,163,88,251,561,44.74%,50,192,242
Sheriff,0434,831,293,1124,1557,72.19%,592,463,1055
Sheriff,0435,1951,567,2518,3363,74.87%,1485,917,2402
Sheriff,0436,2008,678,2686,3809,70.52%,1407,1149,2556
Sheriff,0437,1148,425,1573,2094,75.12%,989,530,1519
Sheriff,0438,2288,475,2763,3789,72.92%,1825,833,2658
Sheriff,0439,1854,749,2603,3701,70.33%,1671,818,2489
Sheriff,0440,1498,749,2247,2973,75.58%,1643,518,2161
Sheriff,0441,824,408,1232,1695,72.68%,824,359,1183
Sheriff,0442,2441,685,3126,4315,72.44%,2508,537,3045
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0443,415,83,498,642,77.57%,342,136,478
Sheriff,0444,1620,679,2299,3625,63.42%,1182,1008,2190
Sheriff,0445,1036,382,1418,2134,66.45%,800,569,1369
Sheriff,0446,89,45,134,309,43.37%,48,82,130
Sheriff,0447,2411,464,2875,3727,77.14%,1855,926,2781
Sheriff,0448,1763,529,2292,3155,72.65%,1217,959,2176
Sheriff,0449,73,26,99,225,44.00%,11,86,97
Sheriff,0450,1104,394,1498,2890,51.83%,375,1072,1447
Sheriff,0451,1719,367,2086,2771,75.28%,1662,377,2039
Sheriff,0452,1871,662,2533,3789,66.85%,1689,777,2466
Sheriff,0453,661,417,1078,2039,52.87%,288,742,1030
Sheriff,0454,1043,288,1331,2509,53.05%,42,1250,1292
Sheriff,0455,669,173,842,1713,49.15%,41,770,811
Sheriff,0456,1,1404,553,1957,3793,51.60%,1026,860,1886
Sheriff,0457,0,0,0,0,0.00%,0,0,0
Sheriff,0458,914,253,1167,2025,57.63%,84,1045,1129
Sheriff,0459,2362,432,2794,3942,70.88%,2081,635,2716
Sheriff,0460,1613,472,2085,3280,63.57%,507,1512,2019
Sheriff,0461,2242,669,2911,4054,71.81%,1698,1074,2772
Sheriff,0462,1474,738,2212,3507,63.07%,729,1417,2146
Sheriff,0463,1573,564,2237,3773,59.29%,837,1346,2183
Sheriff,0464,967,582,1549,2343,66.11%,968,528,1496
Sheriff,0465,1628,594,2222,3778,58.81%,1021,1129,2150
Sheriff,0466,2274,509,2783,4327,64.32%,1432,1280,2712
Sheriff,0467,501,225,726,1320,55.00%,160,535,695
Sheriff,0468,1379,747,2125,4040,52.62%,521,1528,2049
Sheriff,0469,1857,462,2329,3257,71.51%,1754,512,2266
Sheriff,0470,555,232,787,1358,57.95%,562,199,761
Sheriff,0471,1057,458,1515,2473,61.26%,1124,345,1469
Sheriff,0472,463,339,802,1131,70.91%,316,429,745
Sheriff,0473,944,390,1334,1787,74.65%,895,392,1287
Sheriff,0474,1417,624,2041,3127,65.27%,1296,678,1974
Sheriff,0475,791,261,1052,1936,54.34%,397,609,1006
Sheriff,0476,1077,405,1482,2458,60.29%,737,692,1429
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0477,2027,640,2667,4010,66.51%,1848,751,2599
Sheriff,0478,2271,683,2954,4696,62.90%,1835,1033,2868
Sheriff,0479,1978,755,2733,3851,70.97%,1986,690,2676
Sheriff,0480,1445,538,1983,2978,66.59%,1333,615,1948
Sheriff,0481,1756,667,2423,3609,67.14%,1732,614,2346
Sheriff,0482,2259,618,2877,4405,65.31%,1938,865,2803
Sheriff,0483,2305,538,2843,4495,63.25%,1406,1319,2725
Sheriff,0484,2020,700,2720,3981,68.32%,1720,925,2645
Sheriff,0485,2118,567,2685,4051,66.28%,1892,728,2620
Sheriff,0486,2310,721,3031,4195,72.25%,2297,653,2950
Sheriff,0487,1405,527,1932,4142,46.64%,456,1340,1796
Sheriff,0488,842,511,1353,2382,56.80%,363,938,1301
Sheriff,0489,865,344,1209,1958,61.75%,319,844,1163
Sheriff,0490,980,346,1326,2105,62.99%,386,890,1276
Sheriff,0491,937,488,1425,2110,67.54%,732,627,1359
Sheriff,0492,1217,396,1613,2552,63.21%,790,767,1557
Sheriff,0493,1404,555,1959,3338,58.69%,739,1144,1883
Sheriff,0494,1079,419,1498,2787,53.75%,190,1264,1454
Sheriff,0495,1414,376,1790,2488,71.95%,1189,541,1730
Sheriff,0496,687,549,1235,2325,53.16%,399,792,1191
Sheriff,0497,915,281,1197,2148,55.73%,61,1094,1155
Sheriff,0498,1069,423,1492,2527,59.04%,503,928,1431
Sheriff,0499,1433,397,1830,2336,78.34%,1246,526,1772
Sheriff,0500,1869,651,2520,3698,68.14%,1584,866,2450
Sheriff,0501,1146,406,1552,2016,76.98%,608,870,1478
Sheriff,0502,1355,293,1559,2595,63.93%,1269,340,1609
Sheriff,0503,1397,306,1703,2236,76.16%,1248,401,1649
Sheriff,0504,1270,482,1752,2318,75.58%,1079,611,1690
Sheriff,0505,1750,735,2485,4076,60.97%,1066,1310,2376
Sheriff,0506,1513,696,2209,3544,62.33%,327,1814,2141
Sheriff,0507,599,319,918,2562,35.83%,207,620,827
Sheriff,0508,1519,828,2347,4767,49.23%,613,1575,2188
Sheriff,0509,2504,669,3173,5153,61.58%,1954,1122,3076
Sheriff,0510,1701,666,2367,3822,61.93%,964,1341,2305
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0511,2933,574,3507,4620,75.91%,2086,1332,3418
Sheriff,0512,1668,871,2539,4559,55.69%,943,1512,2455
Sheriff,0513,1754,413,2187,3003,72.16%,1559,560,2119
Sheriff,0514,2288,613,2899,4378,66.22%,1992,830,2822
Sheriff,0515,1836,468,2304,3182,72.41%,1822,430,2252
Sheriff,0516,1316,363,1679,2799,59.99%,810,830,1640
Sheriff,0517,1610,509,2119,3744,56.60%,904,1135,2039
Sheriff,0518,1886,676,2562,4049,63.27%,1479,1003,2482
Sheriff,0519,1421,518,1939,3098,62.59%,1310,570,1880
Sheriff,0520,1788,670,2456,5202,47.21%,410,2006,2416
Sheriff,0521,1350,578,1928,3070,62.80%,884,988,1872
Sheriff,0522,1508,464,1972,2815,70.05%,1416,512,1928
Sheriff,0523,1978,537,2515,4027,62.45%,1501,915,2416
Sheriff,0524,1392,637,2029,3598,56.39%,528,1438,1966
Sheriff,0525,1440,574,2014,3260,61.78%,435,1501,1936
Sheriff,0526,235,157,392,820,47.80%,76,298,374
Sheriff,0527,156,38,194,580,33.45%,71,113,184
Sheriff,0528,17,8,25,78,32.05%,3,21,24
Sheriff,0529,2107,434,2541,3842,66.14%,2076,376,2452
Sheriff,0530,375,212,587,1236,47.49%,102,447,549
Sheriff,0531,1234,166,1400,2250,62.22%,1018,324,1342
Sheriff,0532,478,140,618,1058,58.41%,398,209,607
Sheriff,0533,352,169,521,1164,44.76%,249,247,496
Sheriff,0534,1895,577,2472,3918,63.09%,1681,704,2385
Sheriff,0535,132,62,194,413,46.97%,53,130,183
Sheriff,0536,2104,1053,3157,5637,56.00%,968,2041,3009
Sheriff,0537,1958,464,2422,3174,76.31%,1672,676,2348
Sheriff,0538,371,203,574,1332,43.09%,20,539,559
Sheriff,0539,811,234,1045,1535,68.08%,575,443,1018
Sheriff,0540,997,349,1346,1759,76.52%,448,837,1285
Sheriff,0541,2157,761,2918,5001,58.35%,451,2348,2799
Sheriff,0542,1156,406,1562,2654,58.85%,102,1412,1514
Sheriff,0543,553,321,874,1658,52.71%,189,651,840
Sheriff,0544,84,54,138,313,44.09%,15,118,133
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0545,2015,468,2483,3949,62.88%,1030,1357,2387
Sheriff,0546,1524,278,1802,2471,72.93%,1501,270,1771
Sheriff,0547,1413,270,1683,2534,66.42%,1093,532,1625
Sheriff,0548,882,395,1277,2339,54.60%,568,685,1253
Sheriff,0549,1105,447,1552,2786,55.71%,219,1302,1521
Sheriff,0550,1171,553,1724,3245,53.13%,734,959,1693
Sheriff,0551,2586,793,3379,4428,76.31%,2554,734,3288
Sheriff,0552,2090,784,2874,3762,76.40%,2310,498,2808
Sheriff,0553,962,317,1279,2193,58.32%,463,785,1248
Sheriff,0554,597,271,868,1774,48.93%,164,670,834
Sheriff,0555,639,390,1029,2286,45.01%,166,826,992
Sheriff,0556,759,435,1194,2491,47.93%,239,907,1146
Sheriff,0557,925,460,1385,2955,46.87%,365,922,1287
Sheriff,0558,1812,721,2533,4718,53.69%,736,1717,2453
Sheriff,0559,1901,701,2602,4984,52.21%,572,1937,2509
Sheriff,0560,290,247,537,1141,47.06%,77,433,510
Sheriff,0561,1023,624,1647,3138,52.49%,936,642,1578
Sheriff,0562,222,116,338,691,48.91%,35,279,314
Sheriff,0563,2069,337,2406,3468,69.38%,1819,526,2345
Sheriff,0564,1551,526,2077,3240,64.10%,535,1454,1989
Sheriff,0565,336,148,484,1414,34.23%,76,389,465
Sheriff,0566,1183,441,1624,3029,53.62%,394,1167,1561
Sheriff,0567,965,390,1355,2851,47.53%,334,935,1269
Sheriff,0568,1833,697,2530,3638,69.54%,1538,871,2409
Sheriff,0569,2027,747,2774,4125,67.25%,1278,1362,2640
Sheriff,0570,766,278,1044,1598,65.33%,372,623,995
Sheriff,0571,521,314,835,1950,42.82%,238,560,798
Sheriff,0572,1522,444,1966,3308,59.43%,810,1079,1889
Sheriff,0573,489,215,704,1625,43.32%,17,675,692
Sheriff,0574,112,74,186,391,47.57%,19,159,178
Sheriff,0575,1905,535,2440,3557,68.60%,1373,993,2366
Sheriff,0576,1107,375,1482,2830,52.37%,91,1351,1442
Sheriff,0577,885,205,1090,1586,68.73%,621,428,1049
Sheriff,0578,1026,405,1431,1862,76.85%,839,537,1376
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0579,287,181,468,1139,41.09%,72,377,449
Sheriff,0580,366,108,474,985,48.12%,23,444,467
Sheriff,0581,456,137,593,1033,57.41%,24,549,573
Sheriff,0582,543,232,775,1607,48.23%,54,691,745
Sheriff,0583,433,155,588,1286,45.72%,28,547,575
Sheriff,0584,367,120,487,1062,45.86%,37,435,472
Sheriff,0585,829,280,1109,2346,47.27%,59,1016,1075
Sheriff,0586,1790,790,2580,4521,57.07%,1464,1028,2492
Sheriff,0587,1204,431,1635,2870,56.97%,533,1051,1584
Sheriff,0588,1940,606,2546,3780,67.35%,1669,827,2496
Sheriff,0589,1539,545,2084,3780,55.13%,974,1046,2020
Sheriff,0590,1230,400,1630,2176,74.91%,1227,355,1582
Sheriff,0591,651,462,1113,2274,48.94%,239,827,1066
Sheriff,0592,449,272,721,1446,49.86%,161,532,693
Sheriff,0593,1581,755,2316,4179,55.42%,902,1338,2240
Sheriff,0594,1243,316,1559,2578,60.47%,412,1116,1528
Sheriff,0595,600,299,899,1833,49.05%,145,730,875
Sheriff,0596,1377,501,1878,3574,52.55%,856,947,1803
Sheriff,0597,1204,609,1813,3587,50.54%,632,1107,1739
Sheriff,0598,2389,731,3120,5253,59.39%,1041,1965,3006
Sheriff,0599,1378,493,1871,3005,62.26%,654,1171,1825
Sheriff,0600,1602,776,2378,4204,56.57%,765,1513,2278
Sheriff,0601,2220,670,2890,4151,69.62%,2079,750,2829
Sheriff,0602,754,234,988,1441,68.56%,648,312,960
Sheriff,0603,2335,725,3060,4666,65.58%,1712,1258,2970
Sheriff,0604,1816,375,2191,3189,68.70%,1820,301,2121
Sheriff,0605,1711,599,2310,4217,54.78%,534,1682,2216
Sheriff,0606,319,111,430,970,44.33%,9,407,416
Sheriff,0607,163,51,214,712,30.06%,22,186,208
Sheriff,0608,156,77,233,570,40.88%,68,154,222
Sheriff,0609,2037,729,2766,4305,64.25%,1551,1116,2667
Sheriff,0610,665,343,1008,2086,48.32%,387,573,960
Sheriff,0611,980,229,1209,2527,47.84%,58,1128,1186
Sheriff,0612,1927,431,2358,3388,69.60%,1746,534,2280
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0613,937,339,1276,2368,53.89%,227,1008,1235
Sheriff,0614,1949,645,2594,4566,56.81%,782,1725,2507
Sheriff,0615,1075,301,1376,2086,65.96%,721,617,1338
Sheriff,0616,1809,611,2420,3516,68.83%,1578,766,2344
Sheriff,0617,1704,650,2354,4179,56.33%,758,1523,2281
Sheriff,0618,1698,545,2243,3801,59.01%,905,1269,2174
Sheriff,0619,2792,663,3455,4916,70.28%,2463,921,3384
Sheriff,0620,1747,333,2080,3318,62.69%,1035,961,1996
Sheriff,0621,536,200,736,1272,57.86%,295,407,702
Sheriff,0622,2129,591,2720,4562,59.62%,1425,1209,2634
Sheriff,0623,1960,461,2421,3919,61.78%,1543,819,2362
Sheriff,0624,297,59,356,456,78.07%,268,80,348
Sheriff,0625,924,372,1296,1864,69.53%,670,577,1247
Sheriff,0626,2280,784,3054,4816,63.62%,1554,1399,2953
Sheriff,0627,935,649,1584,3235,48.96%,401,1117,1518
Sheriff,0628,716,545,1261,2420,52.11%,402,786,1188
Sheriff,0629,162,96,258,750,34.40%,30,222,252
Sheriff,0630,2662,541,3203,4738,67.60%,322,2805,3127
Sheriff,0631,1841,398,2239,3263,68.62%,1481,690,2171
Sheriff,0632,4,1,5,241,2.07%,0,5,5
Sheriff,0633,2285,601,2887,3912,73.80%,1975,846,2821
Sheriff,0634,1435,499,1934,3259,59.34%,1104,783,1887
Sheriff,0635,1645,520,2165,3512,61.65%,1559,536,2095
Sheriff,0636,2303,922,3225,4569,70.58%,2805,351,3156
Sheriff,0637,1095,423,1518,2591,58.59%,280,1165,1445
Sheriff,0638,850,348,1198,2310,51.86%,99,1069,1168
Sheriff,0639,1385,284,1670,2560,65.23%,1251,363,1614
Sheriff,0640,1619,615,2234,3927,56.89%,1235,942,2177
Sheriff,0641,1637,683,2320,3840,60.42%,1330,912,2242
Sheriff,0642,1030,270,1300,1783,72.91%,1008,265,1273
Sheriff,0643,1948,593,2541,4189,60.66%,1183,1289,2472
Sheriff,0644,2087,689,2776,4446,62.44%,1578,1112,2690
Sheriff,0645,2145,769,2914,4517,64.51%,1152,1649,2801
Sheriff,0646,925,399,1324,2422,54.67%,334,935,1269
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,DEM Ed Gonzalez,Totals
Sheriff,0647,1372,526,1898,4349,43.64%,395,1386,1781
Sheriff,0648,1859,500,2359,3487,67.65%,1648,662,2310
Sheriff,0649,1549,775,2324,4755,48.87%,558,1671,2229
Sheriff,0650,2033,819,2852,4039,70.61%,1877,899,2776
Sheriff,0651,1734,551,2285,3873,59.00%,1193,1018,2211
Sheriff,0652,1165,545,1710,2979,57.40%,256,1413,1669
