Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Lois W. Kolkhorst,LIB Kathie L. Stone,Totals
"State Senator, District 18",0049,1546,731,2277,3709,61.39%,1509,242,1751
"State Senator, District 18",0119,2760,409,3169,4682,67.68%,2449,285,2734
"State Senator, District 18",0121,354,221,575,966,59.52%,364,66,430
"State Senator, District 18",0149,2938,573,3511,4756,73.82%,1983,549,2532
"State Senator, District 18",0331,885,234,1119,1612,69.42%,702,171,873
"State Senator, District 18",0598,2389,731,3120,5253,59.39%,1123,665,1788
"State Senator, District 18",0624,297,59,356,456,78.07%,266,39,305
"State Senator, District 18",0639,1387,284,1671,2560,65.27%,1238,162,1400
"State Senator, District 18",0901,0,0,0,0,0.00%,0,0,0
"State Senator, District 18",0919,1,0,1,1,100.00%,0,1,1
"State Senator, District 18",Totals:,12557,3242,15799,23995,9634,2180,11814
